exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Chiếu sáng công cộng Đà Nẵng,276.0,7575.0,"Điện, nước & xăng dầu khí đốt",Utilities,,0.0,94.0,0.0,http://www.dlmc.com.vn,5.0,-0.017,-0.042,,1.7,1.2,CT,DLM,,,,
HNX,Điện nước Hải Phòng,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,1992.0,147.0,135.0,0.003,http://diennuochp.com.vn,4.6,-0.017,-0.212,-0.145,6.4,6.4,CT,DNC,,,,
UPCOM,Cấp nước Đồng Nai,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,1985.0,936.0,909.0,0.001,http://www.dowaco.vn,4.0,-0.013,0.029,0.32,120.0,120.0,CT,DNW,,,,
UPCOM,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,260.0,114.0,0.0,https://www.dhd.com.vn,4.2,0.137,0.118,0.433,422.4,422.4,CT,DNH,,,,
UPCOM,Cấp nước Đà Nẵng,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,590.0,625.0,0.0,http://www.dawaco.com.vn,4.3,-0.017,-0.042,0.286,58.0,58.0,CT,DNN,,,,
UPCOM,Cấp nước Đồng Tháp,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,718.0,621.0,0.0,http://www.dowasen.com,3.8,0.013,-0.106,0.151,25.9,25.9,CT,DWS,,,,
HOSE,Thủy điện - Điện lực 3,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2003.0,34.0,1852.0,0.031,http://www.pc3hp.com.vn,3.9,0.005,-0.078,0.379,9.5,9.5,CT,DRL,,,,
UPCOM,Đại Trường Thành Holdings,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2016.0,0.0,310.0,0.0,http://www.dttholdings.com.vn,3.7,-0.017,-0.292,-0.455,50.7,50.7,CT,DTE,,,,
UPCOM,PT điện Nông thôn Trà Vinh,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,1996.0,181.0,120.0,0.0,http://www.diennongthontv.com,3.7,-0.017,-0.042,0.516,5.3,5.3,CT,DTV,,,,
UPCOM,TM dịch vụ Cảng Hải Phòng,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2000.0,224.0,257.0,0.0,http://www.dichvucang.com,3.3,-0.017,-0.025,0.161,10.8,10.8,CT,DVC,,,,
HOSE,PV Gas,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,1990.0,3800.0,10295.0,0.03,http://www.pvgas.com.vn,4.1,-0.021,-0.062,0.237,1914.0,1914.0,CT,GAS,,,,
HNX,Cấp nước Gia Định,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,1991.0,322.0,297.0,0.057,http://www.capnuocgiadinh.vn,3.9,-0.069,0.401,0.125,9.5,9.5,CT,GDW,,,,
HOSE,Tổng Công ty Phát điện 3,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2012.0,2478.0,2009.0,0.0,http://www.genco3.com,3.8,0.007,-0.034,-0.136,1123.5,1123.5,CT,PGV,,,,
UPCOM,Thủy điện Gia Lai,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2002.0,75.0,3994.0,0.006,https://ghc.vn,4.1,-0.013,-0.046,0.203,47.7,47.7,CT,GHC,,,,
UPCOM,Cấp thoát nước Gia Lai,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,115.0,134.0,0.0,http://www.capnuocgialai.com,3.5,-0.017,-0.029,1.286,18.0,18.0,CT,GLW,,,,
HOSE,Điện Gia Lai,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,665.0,1956.0,0.464,http://www.geccom.vn,3.6,-0.021,-0.028,-0.154,321.9,321.9,CT,GEG,,,,
UPCOM,Thủy điện Hương Sơn,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2003.0,66.0,0.0,0.0,http://www.thuydienhuongson.vn,4.0,0.07,0.037,0.357,28.6,28.6,CT,GSM,,,,
UPCOM,Công trình đô thị Hậu Giang,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2004.0,595.0,219.0,0.0,http://www.capnuochaugiang.vn,3.6,-0.017,-0.042,0.253,24.9,24.9,CT,HGW,,,,
UPCOM,Cấp nước Hà Tĩnh,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,462.0,368.0,0.0,http://capnuochatinh.vn,3.8,-0.017,-0.042,0.286,20.4,20.4,CT,HTW,,,,
UPCOM,Kinh doanh điện lực TP HCM,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,61.0,7204.0,0.0,https://tradincorp.vn,3.6,0.009,-0.016,-0.214,21.6,23.6,CT,HTE,,,,
UPCOM,Nước sạch Hải Dương,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,1998.0,919.0,916.0,0.001,http://hdwaco.com.vn/,3.8,-0.01,-0.004,0.271,31.9,31.9,CT,HDW,,,,
UPCOM,Xăng dầu HFC,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,1978.0,345.0,214.0,0.0,http://www.hanoifuel.com.vn,3.2,-0.017,-0.004,-0.084,8.2,8.2,CT,HFC,,,,
HNX,Thủy điện Nậm Mu,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2003.0,125.0,418.0,0.002,http://www.thuydiennammu.com.vn,3.8,0.272,0.293,0.747,21.0,21.0,CT,HJS,,,,
UPCOM,Thủy điện Hủa Na,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,117.0,2957.0,0.0,http://huana.com.vn/,4.3,-0.012,-0.059,0.524,235.2,235.2,CT,HNA,,,,
UPCOM,Thủy điện Đăk Đoa,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,24.0,0.0,0.025,http://www.thuydiendakdoa.vn,4.1,-0.101,-0.072,0.291,8.3,8.3,CT,HPD,,,,
UPCOM,Cấp nước Hải Phòng,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,1114.0,1245.0,0.001,http://www.capnuochaiphong.com.vn,3.9,-0.043,-0.081,0.195,74.2,74.2,CT,HPW,,,,
HNX,Thương mại Hóc Môn,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2001.0,541.0,180.0,0.014,http://www.hotraco.com.vn,3.8,0.078,0.093,-0.011,16.5,16.5,CT,HTC,,,,
UPCOM,Cấp nước Thừa Thiên Huế,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,518.0,577.0,0.001,http://huewaco.com.vn,4.0,0.001,-0.015,0.175,87.4,87.6,CT,HWS,,,,
HNX,Đầu tư CN XNK Đông Dương,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,150.0,379.0,0.0,http://www.dongduongcorp.com.vn,3.3,-0.036,-0.045,0.408,59.8,59.8,CT,DDG,,,,
UPCOM,Cấp thoát nước Khánh Hòa,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,327.0,326.0,0.0,http://ctnkh.com.vn,3.9,-0.017,0.353,0.682,28.6,28.6,CT,KHW,,,,
HOSE,Điện lực Khánh Hòa,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,957.0,7667.0,0.019,https://pckhanhhoa.cpc.vn,3.7,0.064,0.105,-0.143,58.9,60.4,CT,KHP,,,,
UPCOM,Cấp thoát nước Long An,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,143.0,129.0,0.0,http://www.lawaco.com.vn,3.7,0.123,-0.084,1.159,12.2,12.2,CT,LAW,,,,
UPCOM,Nước sạch Lai Châu,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,142.0,148.0,0.0,http://capnuoclaichau.com.vn,3.6,-0.017,0.358,0.7,21.6,21.6,CT,LCW,,,,
UPCOM,Cấp nước Lào Cai,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,343.0,334.0,0.0,http://capnuoclaocai.com.vn,4.2,0.082,-0.262,-0.105,17.7,17.7,CT,LWS,,,,
UPCOM,Cấp thoát nước Lâm Đồng,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,367.0,415.0,0.0,https://lawaco.com,3.5,-0.017,-0.042,0.286,78.8,78.8,CT,LDW,,,,
UPCOM,Cấp nước Long Khánh,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2004.0,65.0,201.0,0.029,http://www.capnuoclongkhanh.com.vn,4.0,-0.017,-0.042,-0.009,2.5,2.5,CT,LKW,,,,
UPCOM,MTGAS,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,36.0,1042.0,0.018,http://www.mtgas.com.vn,3.9,-0.068,-0.238,0.09,6.3,6.3,CT,MTG,,,,
UPCOM,Cấp nước Nghệ An,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,481.0,685.0,0.0,http://www.nawasco.com.vn,3.3,-0.017,-0.042,0.355,37.4,37.4,CT,NAW,,,,
HNX,Nhiệt điện Ninh Bình,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,409.0,1421.0,0.012,http://www.nbtpc.com.vn,4.0,-0.017,-0.042,0.085,12.9,12.9,CT,NBP,,,,
HNX,Cấp nước Nhà Bè,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,387.0,325.0,0.044,http://www.capnuocnhabe.vn,3.8,-0.089,0.54,0.64,10.9,10.9,CT,NBW,,,,
UPCOM,Đầu tư và PT điện Miền Bắc 2,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2004.0,87.0,0.0,0.352,http://www.nedi2.com.vn,3.9,-0.13,-0.165,0.344,50.0,50.0,CT,ND2,,,,
UPCOM,Nhiệt điện Hải Phòng,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2015.0,872.0,1906.0,0.0,http://www.ndhp.com.vn,3.8,-0.024,-0.057,0.032,500.0,500.0,CT,HND,,,,
UPCOM,Cấp nước Nam Định,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,597.0,524.0,0.0,http://www.capnuocnamdinh.vn,4.2,-0.017,-0.442,0.036,34.2,34.3,CT,NDW,,,,
UPCOM,Cấp thoát nước Lạng Sơn,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,490.0,180.0,0.0,http://www.capthoatnuoclangson.com.vn,3.7,-0.017,0.358,0.686,5.0,5.0,CT,NLS,,,,
UPCOM,Cấp nước Ninh Thuận,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,1992.0,271.0,146.0,0.003,http://www.capnuocninhthuan.com,3.6,0.021,-0.125,0.176,9.5,9.5,CT,NNT,,,,
UPCOM,Cấp nước Quảng Bình,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,1992.0,224.0,201.0,0.0,http://capnuocquangbinh.vn,3.7,-0.017,-0.364,-0.036,17.2,17.2,CT,NQB,,,,
UPCOM,Nước sạch Quảng Trị,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,252.0,305.0,0.0,http://www.qtwaco.vn,4.2,-0.017,-0.042,0.286,18.2,18.2,CT,NQT,,,,
UPCOM,Nước sạch số 2 Hà Nội,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,1996.0,516.0,468.0,0.0,http://www.hawater.com.vn,3.7,0.039,-0.068,0.069,56.8,56.8,CT,NS2,,,,
HOSE,TMại ĐT Dầu khí Nam Sông Hậu,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2012.0,280.0,5222.0,0.0,http://www.nshpetro.vn,3.3,0.016,-0.193,-0.469,126.2,126.2,CT,PSH,,,,
HOSE,Điện lực Nhơn Trạch 2,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,176.0,4264.0,0.16,https://www.pvpnt2.vn,4.0,0.012,0.004,0.634,287.9,287.9,CT,NT2,,,,
UPCOM,Cấp nước Nhơn Trạch,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2008.0,87.0,231.0,0.15,http://www.ntw.com.vn,3.5,-0.12,-0.066,0.173,10.0,10.0,CT,NTW,,,,
UPCOM,Cấp nước Trà Nóc - Ô Môn,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2017.0,81.0,213.0,0.101,https://tranoc-omonwaco.com.vn/,4.1,-0.017,-0.001,-0.111,8.0,8.0,CT,TOW,,,,
HNX,Đầu tư PT Gas Đô thị,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,67.0,1174.0,0.479,http://www.pvgascity.com.vn,3.4,-0.048,0.045,-0.118,18.9,18.9,CT,PCG,,,,
UPCOM,TM Kỹ thuật và Đầu tư (PETEC),275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,464.0,743.0,0.0,http://www.petec.com.vn,3.5,-0.16,-0.221,-0.114,248.9,231.9,CT,PEG,,,,
HOSE,Gas Petrolimex,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2004.0,1058.0,0.0,0.053,http://www.pgas.petrolimex.com.vn,3.5,-0.014,-0.042,0.074,60.3,60.3,CT,PGC,,,,
HOSE,PV GAS D,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,267.0,1689.0,0.465,http://www.pvgasd.com.vn,3.9,-0.023,-0.036,0.321,90.0,90.0,CT,PGD,,,,
HNX,Khí Miền Nam,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,1209.0,443.0,0.013,http://www.southerngas.com.vn,3.7,-0.001,-0.072,0.34,50.0,50.0,CT,PGS,,,,
HNX,Đầu tư Điện lực 3,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2008.0,57.0,5290.0,0.0,https://pc3invest.cpc.vn,4.0,-0.043,-0.022,0.667,33.3,33.3,CT,PIC,,,,
HNX,TM và Vận tải Petrolimex HN,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,1999.0,483.0,801.0,0.004,http://www.petajicohanoi.com.vn,3.9,0.099,0.16,0.483,7.3,7.3,CT,PJC,,,,
UPCOM,Cấp nước Phú Hòa Tân,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2011.0,232.0,261.0,0.068,http://www.phuwaco.com.vn,3.7,-0.1,0.178,0.169,9.0,9.0,CT,PJS,,,,
