exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HNX,Vận tải Transimex,194.0,2779.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009.0,234.0,232.0,0.041,http://transimextrans.com.vn,4.2,-0.03,0.094,0.163,5.5,5.5,CT,TOT,,,,
HNX,Nhựa Tân Phú VN,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005.0,1814.0,482.0,0.001,http://tanphuvietnam.vn,3.4,-0.017,-0.146,-0.069,45.0,45.0,CT,TPP,,,,
UPCOM,Vận Tải 1 Traco,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2015.0,,0.0,0.0,http://www.traco.vn,3.5,-0.017,0.018,0.089,4.6,4.6,CT,TR1,,,,
UPCOM,Vận tải và Dịch vụ Hàng Hải,191.0,2773.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,156.0,149.0,0.0,http://www.trasas.com.vn,3.4,-0.004,0.089,0.172,4.5,4.5,CT,TRS,,,,
HNX,Ắc quy Tia Sáng,186.0,2733.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,225.0,295.0,0.0,http://www.tiasangbattery.com,3.4,-0.022,-0.029,2.088,6.7,6.7,CT,TSB,,,,
UPCOM,Bao bì nhựa Tân Tiến,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,792.0,415.0,0.882,https://tapack.com,4.1,0.149,-0.373,-0.156,13.5,15.0,CT,TTP,,,,
UPCOM,Tư vấn XD Điện 1,195.0,2791.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1982.0,734.0,1626.0,0.0,http://www.pecc1.com.vn,3.3,0.027,-0.034,0.408,26.7,26.7,CT,TV1,,,,
HOSE,Tư vấn XD Điện 2,195.0,2791.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1985.0,753.0,986.0,0.15,http://www.pecc2.com,3.7,-0.026,0.037,-0.188,67.5,67.5,CT,TV2,,,,
HNX,Tư vấn XD Điện 4,195.0,2791.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,446.0,485.0,0.01,http://www.pecc4.vn,3.9,-0.009,-0.035,0.038,19.8,19.8,CT,TV4,,,,
HOSE,Dây và Cáp điện Taya,186.0,2733.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1992.0,259.0,0.0,0.409,http://www.taya.com.vn,3.5,0.023,-0.099,-0.094,30.7,6.1,CT,TYA,,,,
UPCOM,Đô thị Cần Thơ,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,351.0,165.0,0.0,http://www.congtrinhdothicantho.vn,3.8,-0.017,-0.042,0.081,5.3,5.3,CT,UCT,,,,
UPCOM,Cơ điện Uông Bí - Vinacomin,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013.0,195.0,171.0,0.0,http://www.codienuongbi.vn,3.4,-0.417,-0.442,-0.114,2.4,2.4,CT,UEM,,,,
UPCOM,Công trình Đô thị Sóc Trăng,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,403.0,0.0,0.0,http://www.ctdtst.vn,3.8,0.013,0.021,0.374,5.6,5.6,CT,USD,,,,
HNX,Nhựa - Bao bì Vinh,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1996.0,1036.0,262.0,0.019,http://nhuabaobivinh.com,3.7,0.118,-0.088,-0.116,7.5,7.5,CT,VBC,,,,
UPCOM,Điện tử Bình Hòa,186.0,2733.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,213.0,0.0,0.015,http://www.viettronics-binhhoa.com,3.8,0.13,0.105,0.706,2.9,2.9,CT,VBH,,,,
HNX,VINACONEX MEC,196.0,2793.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1995.0,54.0,656.0,0.0,http://www.vinaconexmec.vn,3.7,-0.017,-0.014,0.462,3.0,3.0,CT,VCM,,,,
