exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Vinaconex - ITC,336.0,8633.0,Bất động sản,Real Estate,2008.0,19.0,2796.0,0.0,https://vinaconexitc.com.vn/,3.1,-0.026,-0.127,-0.281,210.0,210.0,CT,VCR,,,,
HOSE,VinGroup,336.0,8633.0,Bất động sản,Real Estate,2002.0,65325.0,32650.0,0.128,http://www.vingroup.net,3.3,0.015,0.005,-0.036,3813.9,3813.9,CT,VIC,,,,
UPCOM,PT Nhà và Đô thị Vinaconex,336.0,8633.0,Bất động sản,Real Estate,2007.0,50.0,0.0,0.0,http://vinahud.com.vn,3.7,-0.01,0.752,-0.346,38.0,38.0,CT,VHD,,,,
UPCOM,Tư vấn Xây dựng Việt Nam,336.0,8633.0,Bất động sản,Real Estate,2010.0,3556.0,409.0,0.0,http://www.vncc.vn,3.5,-0.017,0.021,0.26,35.8,35.8,CT,VGV,,,,
UPCOM,ĐT BĐS Việt Nam,336.0,8633.0,Bất động sản,Real Estate,2007.0,16.0,112.0,0.0,http://www.vinalandinvest.com.vn,3.0,-0.017,-0.192,-0.193,10.4,10.6,CT,VNI,,,,
HOSE,Vạn Phát Hưng,336.0,8633.0,Bất động sản,Real Estate,1999.0,97.0,7365.0,0.009,http://www.vanphathung.com,3.5,-0.027,-0.037,-0.468,95.4,95.4,CT,VPH,,,,
HOSE,Đầu tư Văn Phú - Invest,336.0,8633.0,Bất động sản,Real Estate,2008.0,157.0,348.0,0.024,http://www.vanphu.vn,3.4,-0.006,0.058,0.305,242.0,242.0,CT,VPI,,,,
HOSE,Bất động sản và Đầu tư VRC,336.0,8633.0,Bất động sản,Real Estate,2005.0,18.0,3064.0,0.005,http://www.vrc.com.vn,3.7,-0.022,-0.157,-0.365,50.0,50.0,CT,VRC,,,,
UPCOM,PT Đô thị và KCN Cao su VN,336.0,8633.0,Bất động sản,Real Estate,2012.0,38.0,0.0,0.0,https://vrg-vn.com/,3.9,0.313,0.195,0.155,25.9,25.9,CT,VRG,,,,
HOSE,Vincom Retail,336.0,8633.0,Bất động sản,Real Estate,2012.0,1981.0,34058.0,0.331,http://www.vincom.com.vn,3.8,-0.007,0.105,0.195,2272.3,2328.8,CT,VRE,,,,
