exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Gạch men Chang YIH,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2006.0,221.0,0.0,0.393,http://www.changyih-ceramic.com,3.7,-0.017,-0.122,-0.324,9.0,2.0,CT,CYC,,,,
UPCOM,CTCP 382 Đông Anh,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2003.0,176.0,0.0,0.065,https://www.382donganh.com/,3.5,-0.017,-0.042,-0.225,1.0,1.0,CT,DAC,,,,
UPCOM,Gạch men COSEVCO,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2013.0,324.0,170.0,0.0,http://www.dacera.com.vn,3.2,-0.158,0.067,0.078,6.5,6.5,CT,DCR,,,,
HOSE,Tập đoàn Đạt Phương,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2002.0,517.0,5613.0,0.019,http://www.datphuong.com.vn,4.1,0.02,-0.015,-0.341,63.0,63.0,CT,DPG,,,,
HNX,DIC Số 2,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,77.0,754.0,0.025,https://dic2.vn/,3.5,0.05,-0.082,-0.365,7.2,7.2,CT,DC2,,,,
HOSE,Xây dựng DIC Holdings,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,312.0,2414.0,0.001,http://www.diccons.vn,3.4,0.029,-0.051,-0.415,52.5,52.5,CT,DC4,,,,
UPCOM,Tấm lợp VLXD Đồng Nai,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2000.0,239.0,2501.0,0.004,http://www.donac.net,3.3,-0.142,-0.167,-0.455,27.2,27.2,CT,DCT,,,,
UPCOM,XD và Thiết kế số 1,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2003.0,65.0,224.0,0.0,http://www.decofi.vn,3.4,-0.017,-0.042,0.892,15.0,15.0,CT,DCF,,,,
UPCOM,Tập đoàn Đua Fat,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2009.0,120.0,307.0,0.0,https://duafat.com.vn,3.2,0.229,0.131,-0.094,80.0,80.0,CT,DFF,,,,
UPCOM,Công trình GT Đồng Nai,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,52.0,0.0,0.0,http://www.dgtc.vn,3.6,-0.031,-0.118,-0.496,79.0,79.0,CT,DGT,,,,
HOSE,Hóa An,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2000.0,119.0,2027.0,0.185,http://www.hoaan.com.vn,3.8,-0.025,-0.056,0.001,14.7,15.1,CT,DHA,,,,
UPCOM,ĐT và TM DIC,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,122.0,0.0,0.003,http://www.dic-intraco.vn,3.3,-0.094,-0.042,-0.422,26.1,26.6,CT,DIC,,,,
UPCOM,Phát triển Xây dựng số 1 (DIC1),181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2013.0,126.0,0.0,0.021,https://dic1.vn/,3.3,-0.017,0.594,-0.08,4.1,4.1,CT,DC1,,,,
UPCOM,DIC - Đồng Tiến,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,205.0,0.0,0.003,http://www.dicdongtien.vn,3.3,0.02,-0.109,-0.497,15.6,15.6,CT,DID,,,,
HNX,PT Xây dựng Hội An,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2006.0,235.0,0.0,0.001,http://www.dichoian.com,3.4,0.048,0.043,-0.138,5.9,6.0,CT,DIH,,,,
UPCOM,Địa ốc Đà Lạt,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,1992.0,86.0,192.0,0.096,http://www.dalatreal.com.vn,3.4,-0.017,-0.042,-0.148,4.5,4.5,CT,DLR,,,,
UPCOM,XD và Vật liệu Đồng Nai,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,141.0,283.0,0.005,http://www.vatlieudongnai.vn,3.5,-0.017,0.056,0.195,8.8,8.8,CT,DND,,,,
HNX,Nhựa Đồng Nai,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,2100.0,0.0,0.002,http://www.dnpcorp.vn,3.4,-0.021,-0.064,0.071,118.9,118.9,CT,DNP,,,,
UPCOM,Xây dựng Cao su Đồng Nai,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2008.0,91.0,186.0,0.0,http://www.dorucon.com.vn,3.3,-0.001,-0.074,-0.151,2.1,2.1,CT,CDR,,,,
UPCOM,VLXD Đồng Tháp,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2010.0,513.0,446.0,0.0,http://www.dongthapbmc.vn,3.5,0.042,-0.073,-0.061,38.6,38.6,CT,BDT,,,,
