,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/03/23,2022,0.2,cash
1,09/06/22,2022,0.3,share
2,14/06/21,2021,0.1,share
3,15/03/21,2020,0.15,cash
4,23/03/20,2019,0.15,cash
5,19/03/19,2018,0.15,cash
6,22/03/18,2017,0.15,cash
7,27/02/17,2016,0.15,cash
8,31/12/15,2015,0.15,cash
9,25/12/14,2014,0.1,cash
