,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,20/03/23,2022,0.1,cash
1,19/05/22,2021,0.02,cash
2,18/03/22,2021,0.1,cash
3,16/03/21,2020,0.07,cash
4,13/03/20,2019,0.08,cash
5,19/06/19,2019,0.1,share
6,28/03/18,2017,0.08,cash
7,20/03/17,2016,0.08,cash
8,27/01/16,2015,0.059,cash
9,19/02/13,2012,0.1,cash
10,26/07/12,2011,0.02,cash
11,28/05/12,2011,0.05,cash
12,08/04/11,2010,0.03,cash
13,22/03/10,2009,0.05,cash
14,24/07/09,2008,0.03,cash
