,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/03/23,2022,0.2,cash
1,04/04/22,2021,0.2,cash
2,08/06/21,2020,0.2,cash
3,25/03/20,2019,0.1,cash
4,04/03/19,2018,0.1,cash
5,21/05/18,2017,0.1,cash
6,21/05/14,2013,0.03,cash
7,28/06/11,2010,0.03,cash
8,28/06/11,2011,0.15,share
9,23/11/09,2009,0.18,cash
