,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/03/23,2022,0.08,cash
1,09/06/22,2021,0.08,cash
2,26/03/21,2019,0.07,cash
3,11/12/18,2018,0.3,cash
4,30/05/18,2017,0.15,cash
5,14/06/17,2016,0.1,cash
6,17/05/16,2015,0.12,cash
7,20/03/15,2014,0.17,cash
8,18/03/14,2013,0.15,cash
9,18/12/12,2012,0.2,cash
10,28/11/11,2011,0.2,cash
11,16/06/11,2010,0.2,cash
