,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,06/04/23,2022,0.05,cash
1,09/02/23,2022,0.1,cash
2,05/06/19,2018,0.057,cash
3,07/11/18,2017,0.05,cash
4,02/06/17,2016,0.05,cash
5,31/12/15,2015,0.085,cash
6,31/12/14,2014,0.09,cash
