,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,03/04/23,2021,0.05,cash
1,31/08/22,2020,0.05,cash
2,10/12/20,2019,0.05,cash
3,19/02/20,2018,0.05,cash
4,23/10/18,2017,0.025,cash
5,28/06/17,2016,0.04,cash
6,16/01/17,2016,0.04,cash
7,31/12/15,2015,0.1,cash
