,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/03/23,2022,0.11,cash
1,24/03/22,2021,0.11,cash
2,07/01/21,2020,0.1,cash
3,06/01/20,2019,0.1,cash
4,15/01/19,2018,0.1,cash
5,15/01/18,2017,0.1,cash
6,12/01/17,2016,0.1,cash
7,14/01/16,2015,0.1,cash
