,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/03/23,2021,0.06,cash
1,25/03/22,2020,0.12,cash
2,25/03/21,2019,0.11,cash
3,26/03/20,2018,0.1,cash
4,22/03/19,2017,0.08,cash
5,15/03/17,2010,0.06,cash
6,15/03/17,2016,0.02,cash
7,05/07/10,2010,0.12,share
8,02/07/08,2008,0.12,share
9,24/05/07,2007,0.08,share
10,20/03/06,2005,0.065,cash
11,14/12/05,2005,0.07,cash
12,28/12/04,2004,0.075,cash
