exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HNX,Sách và Thiết bị trường học Tp Hồ Chí Minh,256.0,5557.0,Truyền thông,Media,2005.0,280.0,574.0,0.061,http://www.stb.com.vn,4.0,-0.017,0.109,0.299,5.7,5.7,CT,STC,,,,
UPCOM,Đo đạc và Khoáng sản,256.0,5557.0,Truyền thông,Media,2010.0,196.0,187.0,0.0,http://www.surminco.com.vn,3.6,,,,2.4,2.4,CT,SUM,,,,
UPCOM,Phát hành sách Thái Nguyên,256.0,5557.0,Truyền thông,Media,2004.0,45.0,551.0,0.0,http://www.sthc.com.vn,3.6,-0.093,-0.229,-0.144,19.5,19.5,CT,STH,,,,
HNX,In Sách giáo khoa TP.Hà Nội,256.0,5557.0,Truyền thông,Media,2004.0,86.0,0.0,0.002,http://www.sachgiaoduchanoi.vn,3.5,-0.017,0.013,0.454,2.1,2.1,CT,TPH,,,,
UPCOM,Triển lãm Việt Nam,255.0,5555.0,Truyền thông,Media,2011.0,88.0,0.0,0.0,http://www.vefac.vn,3.4,-0.001,-0.001,-0.414,166.6,166.6,CT,VEF,,,,
UPCOM,CTCP VNG,254.0,5553.0,Truyền thông,Media,2015.0,2000.0,373.0,0.49,http://www.vng.com.vn,,-0.155,-0.199,,28.7,35.8,CT,VNZ,,,,
UPCOM,QC và Hội chợ Thương mại,255.0,5555.0,Truyền thông,Media,1975.0,63.0,173.0,0.0,http://www.vinexad.com.vn,3.2,-0.017,-0.042,-0.19,1.2,1.2,CT,VNX,,,,
UPCOM,VINAPRINT,256.0,5557.0,Truyền thông,Media,2006.0,47.0,124.0,0.071,http://www.vinaprinting.vn,3.3,0.239,0.214,0.49,4.6,4.6,CT,VPR,,,,
UPCOM,Truyền hình Cáp Việt Nam,254.0,5553.0,Truyền thông,Media,2012.0,1468.0,1157.0,0.0,https://www.vtvcab.vn,3.6,0.278,0.566,-0.576,45.7,45.7,CT,CAB,,,,
UPCOM,Xuất bản giáo dục Hà Nội,256.0,5557.0,Truyền thông,Media,2009.0,112.0,188.0,0.002,http://xbgdhn.vn/,3.7,-0.068,0.015,0.218,2.5,2.5,CT,EPH,,,,
HOSE,Tập đoàn Yeah1,254.0,5553.0,Truyền thông,Media,2006.0,76.0,310.0,0.156,https://www.yeah1group.com,3.4,-0.019,-0.044,-0.358,31.3,31.3,CT,YEG,,,,
