exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HNX,Phân lân Ninh Bình,151.0,1357.0,Hóa chất,Chemicals,1977.0,253.0,265.0,0.0,http://www.niferco.com.vn,4.0,-0.017,-0.065,0.152,15.7,15.7,CT,NFC,,,,
HOSE,Nhựa Hà Nội,150.0,1353.0,Hóa chất,Chemicals,2008.0,1513.0,2799.0,0.005,http://www.hanoiplastics.com.vn,4.0,-0.01,-0.057,-0.133,72.9,72.9,CT,NHH,,,,
UPCOM,CN - DV - TM Ngọc Nghĩa,150.0,1353.0,Hóa chất,Chemicals,1993.0,825.0,400.0,0.978,http://nnc.vn,3.2,-0.017,-0.042,0.159,81.6,81.6,CT,NNG,,,,
HNX,Phân bón và Hóa chất Dầu khí Miền Bắc,151.0,1357.0,Hóa chất,Chemicals,2008.0,68.0,880.0,0.021,http://www.pmb.vn,4.4,-0.017,-0.072,-0.158,12.0,12.0,CT,PMB,,,,
HNX,Phụ Gia Nhựa,150.0,1353.0,Hóa chất,Chemicals,2007.0,41.0,607.0,0.071,https://pgn.com.vn/,4.3,-0.017,-0.002,-0.151,8.5,8.5,CT,PGN,,,,
HOSE,SX và CN Nhựa Pha Lê,150.0,1353.0,Hóa chất,Chemicals,2008.0,237.0,358.0,0.013,http://www.phaleminerals.com.vn,3.5,-0.026,-0.042,-0.473,70.0,70.0,CT,PLP,,,,
HOSE,Cao su Phước Hòa,150.0,1353.0,Hóa chất,Chemicals,2008.0,3126.0,2495.0,0.143,http://www.phr.vn,4.1,-0.001,-0.051,-0.162,135.5,135.5,CT,PHR,,,,
HNX,Hóa dầu Petrolimex,151.0,1357.0,Hóa chất,Chemicals,2004.0,760.0,5037.0,0.012,http://www.plc.com.vn,3.4,-0.011,0.001,0.024,80.8,80.8,CT,PLC,,,,
UPCOM,Bảo vệ thực vật 1 TW,151.0,1357.0,Hóa chất,Chemicals,2006.0,275.0,274.0,0.0,https://psc1.com/,3.2,0.09,0.152,0.183,5.3,5.3,CT,BT1,,,,
HNX,Phân bón và hóa chất dầu khí Đông Nam Bộ,151.0,1357.0,Hóa chất,Chemicals,2008.0,65.0,761.0,0.002,http://www.pse.vn/vi,4.3,-0.007,-0.052,-0.158,12.5,12.5,CT,PSE,,,,
HNX,Phân bón và Hóa chất DK Miền Trung,151.0,1357.0,Hóa chất,Chemicals,2008.0,51.0,138.0,0.011,http://www.pce.vn,4.0,0.057,-0.128,0.172,10.0,10.0,CT,PCE,,,,
UPCOM,Dầu khí DMC-Miền Bắc,151.0,1357.0,Hóa chất,Chemicals,2008.0,72.0,257.0,0.001,http://www.pvdmcn.com.vn,3.5,0.105,0.079,0.795,3.9,3.9,CT,PCN,,,,
HNX,Phân bón hóa chất dầu khí Tây Nam Bộ,151.0,1357.0,Hóa chất,Chemicals,2008.0,53.0,105.0,0.027,http://www.psw.vn,3.9,-0.044,-0.107,-0.329,17.0,17.0,CT,PSW,,,,
HOSE,Xuất nhập khẩu Quảng Bình,151.0,1357.0,Hóa chất,Chemicals,2007.0,49.0,1736.0,0.0,http://www.quangbinhjsc.com.vn,3.8,0.056,-0.135,-0.489,69.3,69.3,CT,QBS,,,,
HOSE,Nhựa Rạng Đông,150.0,1353.0,Hóa chất,Chemicals,2005.0,650.0,1196.0,0.003,https://rangdongholding.com.vn/,3.4,0.023,-0.041,-0.309,49.1,49.1,CT,RDP,,,,
UPCOM,Công Nghiệp và Xuất nhập khẩu Cao Su,150.0,1353.0,Hóa chất,Chemicals,2005.0,445.0,305.0,0.0,http://www.rubico.com.vn,3.4,-0.017,-0.042,0.375,9.9,10.0,CT,RBC,,,,
UPCOM,Thương mại Quảng Trị,150.0,1353.0,Hóa chất,Chemicals,2007.0,531.0,0.0,0.0,http://www.sepon.com.vn,3.3,-0.017,0.155,0.246,8.4,8.4,CT,SEP,,,,
HOSE,Phân bón Miền Nam,151.0,1357.0,Hóa chất,Chemicals,1976.0,681.0,765.0,0.007,http://www.phanbonmiennam.com.vn,3.3,-0.003,-0.118,-0.321,47.9,47.9,CT,SFG,,,,
UPCOM,Nhựa Sài Gòn,150.0,1353.0,Hóa chất,Chemicals,2013.0,63.0,0.0,0.0,http://www.saigonplastic.com.vn,3.0,-0.107,-0.1,0.475,8.6,8.6,CT,NSG,,,,
UPCOM,Sơn Sivico,151.0,1357.0,Hóa chất,Chemicals,2002.0,80.0,175.0,0.093,http://www.sivico.com.vn,3.6,-0.017,-0.045,0.12,3.0,3.0,CT,SIV,,,,
HOSE,Đầu tư Sao Thái Dương,151.0,1357.0,Hóa chất,Chemicals,2012.0,13.0,5138.0,0.003,http://www.stdgroup.vn,3.7,-0.004,-0.087,-0.528,79.2,79.2,CT,SJF,,,,
UPCOM,Cao su Sông Bé,150.0,1353.0,Hóa chất,Chemicals,2010.0,1139.0,0.0,0.0,http://www.caosusongbe.vn,3.5,0.07,-0.093,-0.171,81.4,81.4,CT,SBR,,,,
HNX,BV Thực vật Sài Gòn,151.0,1357.0,Hóa chất,Chemicals,2010.0,477.0,0.0,0.091,http://www.spchcmc.vn,3.9,-0.017,0.036,0.129,10.5,10.5,CT,SPC,,,,
UPCOM,Cao su Tân Biên,150.0,1353.0,Hóa chất,Chemicals,2009.0,3666.0,638.0,0.0,http://www.tabiruco.vn,4.2,-0.017,-0.167,-0.006,87.9,87.9,CT,RTB,,,,
HOSE,Cao su Thống Nhất,150.0,1353.0,Hóa chất,Chemicals,1991.0,0.0,0.0,0.006,http://trc.com.vn,3.8,-0.017,-0.042,0.966,19.3,19.3,CT,TNC,,,,
HOSE,Nhựa Tân Đại Hưng,150.0,1353.0,Hóa chất,Chemicals,1984.0,760.0,670.0,0.025,http://www.tandaihungplastic.com,3.6,-0.012,-0.128,-0.054,22.5,24.4,CT,TPC,,,,
HOSE,Cao su Tây Ninh,150.0,1353.0,Hóa chất,Chemicals,2006.0,1784.0,735.0,0.014,http://www.taniruco.com,3.8,0.013,-0.148,-0.129,29.1,30.0,CT,TRC,,,,
