,ticker,group_code,company_name,company_short_name
1431,VCB,VNINDEX,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Vietcombank
1432,VCC,HNXIndex,Công ty Cổ phần Vinaconex 25,Vinaconex 25
1433,CCV,UpcomIndex,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,XD CN và đô thị Việt Nam
1434,VCF,VNINDEX,Công ty Cổ phần Vinacafe Biên Hòa,Vinacafé Biên Hòa
1435,VCG,VNINDEX,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,VINACONEX
1436,VIH,UpcomIndex,Công ty Cổ phần Viglacera Hà Nội,Viglacera Hà Nội
1437,CLM,HNXIndex,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Xuất nhập khẩu Than - Vinacomin
1438,VCM,HNXIndex,Công ty Cổ phần Nhân lực và Thương mại Vinaconex,VINACONEX MEC
1439,VCR,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,Vinaconex - ITC
1440,VCS,HNXIndex,Công ty Cổ phần VICOSTONE,VICOSTONE
1441,VCI,VNINDEX,Công ty Cổ phần Chứng khoán Bản Việt,Chứng khoán Bản Việt
1442,VCT,UpcomIndex,Công ty Cổ phần Tư vấn Xây dựng Vinaconex,Tư vấn XD Vinaconex
1443,VCX,UpcomIndex,Công ty Cổ phần Xi măng Yên Bình,Xi măng Yên Bình
1444,VDB,UpcomIndex,Công ty Cổ phần Vận tải và Chế biến Than Đông Bắc,Vận tải và CB Than Đông Bắc
1445,VDL,HNXIndex,Công ty Cổ phần Thực phẩm Lâm Đồng,Thực phẩm Lâm Đồng
1446,VDN,UpcomIndex,Công ty Cổ phần Vinatex Đà Nẵng,Vinatex Đà Nẵng
1447,VDS,VNINDEX,Công ty Cổ phần Chứng khoán Rồng Việt,Chứng khoán Rồng Việt
1448,VDT,UpcomIndex,Công ty Cổ phần Lưới thép Bình Tây,Lưới thép Bình Tây
1449,VE1,HNXIndex,Công ty Cổ phần Xây dựng điện VNECO 1,VNECO 1
1450,VE2,HNXIndex,Công ty Cổ phần Xây dựng Điện VNECO 2,Xây dựng Điện VNECO 2
1451,VE3,HNXIndex,Công ty Cổ phần Xây dựng điện VNECO 3,Xây dựng điện VNECO 3
1452,VE4,HNXIndex,Công ty Cổ phần Xây dựng điện VNECO4,Xây dựng điện VNECO4
1453,VE8,HNXIndex,Công ty Cổ phần Xây dựng Điện Vneco 8,Xây dựng Điện Vneco 8
1454,VE9,UpcomIndex,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9,VNECO 9
1455,VEA,UpcomIndex,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,Máy động lực và Máy NN
1456,VEF,UpcomIndex,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,Triển lãm Việt Nam
1457,VEC,UpcomIndex,Tổng Công ty Cổ phần Điện tử và Tin học Việt Nam,Điện tử và Tin học VN
