,ticker,group_code,company_name,company_short_name
0,VVS,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Đầu tư Phát triển Máy Việt Nam
1,XDC,UpcomIndex,Công ty TNHH MTV Xây dựng Công trình Tân Cảng,Xây dựng Công trình Tân Cảng
2,HSV,UpcomIndex,Công ty Cổ phần Tập đoàn HSV Việt Nam,Gang Thép Hà Nội
3,CST,UpcomIndex,Công ty Cổ phần Than Cao Sơn - TKV,Than Cao Sơn - TKV
4,BVL,UpcomIndex,Công ty Cổ phần BV Land,BV Land
5,SGI,UpcomIndex,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,ĐT PT Sài Gòn 3 Group
6,TOS,UpcomIndex,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dịch vụ biển Tân Cảng
7,VTZ,HNXIndex,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nhựa Việt Thành
8,SSH,UpcomIndex,Công ty Cổ phần Phát triển Sunshine Homes,Phát triển Sunshine Homes
9,BCA,UpcomIndex,Công ty cổ phần B.C.H,Công ty B.C.H
10,FUCTVGF3,VNINDEX,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3
11,FUEIP100,VNINDEX,Quỹ ETF IPAAM VN100,ETF IPAAM VN100
12,GMH,VNINDEX,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hưng Quảng Trị
13,BIG,UpcomIndex,Công ty cổ phần BIG Invest Group,BIG Invest Group
14,CMM,UpcomIndex,Công ty Cổ phần Camimex,Camimex
15,CNA,UpcomIndex,Công ty Cổ phần Tổng công ty Chè Nghệ An,Tổng công ty Chè Nghệ An - CTCP
16,FUEKIV30,VNINDEX,Quỹ ETF KIM GROWTH VN30,KIM GROWTH VN30 ETF
17,ODE,UpcomIndex,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Tập đoàn Truyền thông và Giải trí ODE
18,HMR,HNXIndex,Công ty cổ phần Đá Hoàng Mai,Đá Hoàng Mai
19,PCH,HNXIndex,Công ty Cổ phần Nhựa Picomat,Nhựa Picomat
20,DSD,UpcomIndex,Công ty cổ phần DHC Suối Đôi,DHC Suối Đôi
21,NO1,VNINDEX,Công ty Cổ phần Tâp đoàn 911,Tâp đoàn 911
22,MGR,UpcomIndex,Công ty cổ phần Tập đoàn MGROUP,Tập đoàn MGROUP
23,PPT,UpcomIndex,Công ty cổ phần Petro Times,Petro Times
24,CVP,UpcomIndex,Công ty cổ phần Cảng Cửa Việt,Cảng Cửa Việt
25,CAR,UpcomIndex,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tập đoàn Giáo dục Trí Việt
26,GPC,UpcomIndex,Công ty Cổ phần Tập đoàn Green+,Tập đoàn Green+
27,FUCTVGF4,VNINDEX,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4
28,FUEDCMID,VNINDEX,Quỹ ETF DCVFMVNMIDCAP,Quỹ ETF DCVFMVNMIDCAP
29,FUEKIVFS,VNINDEX,Quỹ ETF KIM GROWTH VNFINSELECT,KIM GROWTH VNFINSELECT ETF
30,FUEMAVND,VNINDEX,Quỹ ETF MAFM VNDIAMOND,Quỹ ETF MAFM VNDIAMOND
31,GCF,UpcomIndex,Công ty Cổ phần Thực phẩm G.C,Thực phẩm G.C
32,LPT,UpcomIndex,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,TM và SX Lập Phương Thành
33,AAA,VNINDEX,Công ty Cổ phần Nhựa An Phát Xanh,An Phát Bioplastics
34,AAM,VNINDEX,Công ty Cổ Phần Thủy Sản MeKong,Thủy sản Mekong
35,AAT,VNINDEX,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Tập đoàn Tiên Sơn Thanh Hóa
36,AAV,HNXIndex,Công ty Cổ phần AAV Group,Việt Tiên Sơn Địa ốc
37,ABB,UpcomIndex,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng An Bình
38,ABI,UpcomIndex,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH NH Nông Nghiệp
39,ABR,VNINDEX,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Đầu tư Nhãn Hiệu Việt
40,ABS,VNINDEX,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,DV Nông nghiệp Bình Thuận
41,ABT,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Thủy sản Bến Tre
42,ACB,VNINDEX,Ngân hàng Thương mại Cổ phần Á Châu,ACB
43,ACC,VNINDEX,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Đầu tư và XD Bình Dương ACC
44,ACE,UpcomIndex,Công ty Cổ phần Bê tông ly tâm An Giang,Bê tông An Giang
45,ACL,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thủy sản CL An Giang
46,ACM,UpcomIndex,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Tập đoàn Khoáng sản Á Cường
47,ACS,UpcomIndex,Công ty Cổ phần Xây lắp Thương mại 2,Xây lắp Thương mại 2
48,ACV,UpcomIndex,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Cảng Hàng không VN
49,ADC,HNXIndex,Công ty Cổ phần Mĩ thuật và Truyền thông,Mĩ thuật và Truyền thông
50,ADP,UpcomIndex,Công ty Cổ phần Sơn Á Đông,Sơn Á Đông
51,AFX,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,XNK Nông sản An Giang
52,AGF,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Thủy sản An Giang
53,CKA,UpcomIndex,Công ty Cổ phần Cơ khí An Giang,Cơ khí An Giang
54,AGP,UpcomIndex,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm AGIMEXPHARM
55,AGM,VNINDEX,Công ty Cổ phần Xuất nhập khẩu An Giang,XNK An Giang
56,CAG,HNXIndex,Công ty Cổ phần Cảng An Giang,Cảng An Giang
57,LTG,UpcomIndex,Công ty Cổ phần Tập đoàn Lộc Trời,Tập đoàn Lộc Trời (BVTV An Giang)
58,AGR,VNINDEX,Công ty Cổ phần Chứng khoán AGRIBANK,Agriseco
59,AGG,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản An Gia
60,AGX,UpcomIndex,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Nông sản Xuất khẩu Sài Gòn
61,AG1,UpcomIndex,Công ty Cổ phần 28.1,28.1 JSC
62,AGE,UpcomIndex,Công ty Cổ phần Môi trường Đô thị An Giang,Môi trường Đô thị An Giang
63,ALT,HNXIndex,Công ty Cổ phần Văn hóa Tân Bình,Văn hóa Tân Bình
64,ALV,UpcomIndex,Công ty Cổ phần Xây dựng ALVICO,Xây dựng ALVICO
65,AMC,HNXIndex,Công ty Cổ phần Khoáng sản Á Châu,Khoáng sản Á Châu
66,AMD,VNINDEX,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,FLC Stone
67,AME,HNXIndex,Công ty cổ phần Alphanam E&C,Cơ điện Alphanam
68,AMP,UpcomIndex,Công ty Cổ phần Armephaco,Armephaco
69,AMV,HNXIndex,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược-TB Y tế Việt Mỹ
70,ACG,VNINDEX,Công ty Cổ phần Gỗ An Cường,Gỗ An Cường
71,ANT,UpcomIndex,Công ty Cổ phần Rau quả Thực phẩm An Giang,Rau quả thực phẩm An Giang
72,ANV,VNINDEX,Công ty Cổ phần Nam Việt,Thủy sản Nam Việt
73,APC,VNINDEX,Công ty Cổ phần Chiếu xạ An Phú,Chiếu xạ An Phú
74,APF,UpcomIndex,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Nông sản Quảng Ngãi
75,APG,VNINDEX,Công ty Cổ phần Chứng khoán APG,Chứng khoán APG
76,APH,VNINDEX,Công ty Cổ phần Tập đoàn An Phát Holdings,Tập đoàn An Phát Holdings
77,API,HNXIndex,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,APEC INVESTMENT
78,APL,UpcomIndex,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Cơ khí và Thiết bị áp lực - VVMI
79,APP,UpcomIndex,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Phụ gia và SP Dầu mỏ
80,APS,HNXIndex,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK Châu Á - TBD
81,HII,VNINDEX,Công ty Cổ phần An Tiến Industries,An Tiến Industries
82,ARM,HNXIndex,Công ty Cổ phần Xuất nhập khẩu Hàng không,XNK Hàng không
83,ASA,UpcomIndex,Công ty Cổ phần ASA,Hàng tiêu dùng ASA
84,A32,UpcomIndex,Công ty Cổ phần 32,Công ty 32
85,ASG,VNINDEX,Công ty Cổ phần Tập đoàn ASG,Tập đoàn ASG
86,ASM,VNINDEX,Công ty Cổ phần Tập đoàn Sao Mai,Tập đoàn Sao Mai
87,ASP,VNINDEX,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Dầu khí An Pha
88,ATA,UpcomIndex,Công ty Cổ phần NTACO,NTACO
89,ATG,UpcomIndex,Công ty Cổ phần An Trường An,An Trường An
90,ATB,UpcomIndex,Công ty Cổ phần An Thịnh,Công ty An Thịnh
91,ATS,HNXIndex,Công ty Cổ phần Tập đoàn Dược phẩm Atesco,"ATESCO.,JSC"
92,AVF,UpcomIndex,Công ty Cổ phần Việt An,Thủy sản Việt An
93,AVC,UpcomIndex,Công ty Cổ phần Thủy điện A Vương,Thủy điện A Vương
94,B82,UpcomIndex,Công ty Cổ phần 482,Công ty 482
95,BAF,VNINDEX,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Nông nghiệp BAF Việt Nam
96,BAL,UpcomIndex,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Bao bì Balpac
97,BCV,UpcomIndex,Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
98,BNA,HNXIndex,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,Đầu tư SX Bảo Ngọc
99,BRR,UpcomIndex,Công ty Cổ phần Cao su Bà Rịa,Cao su Bà Rịa
100,CBC,UpcomIndex,Công ty Cổ phần Chè Bàu Cạn,Chè Bàu Cạn
101,BLW,UpcomIndex,Công ty Cổ phần Cấp nước Bạc Liêu,Cấp nước Bạc Liêu
102,BBC,VNINDEX,Công ty Cổ phần Bibica,Bánh kẹo BIBICA
103,VLB,UpcomIndex,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,VLXD Biên Hòa
104,BBH,UpcomIndex,Công ty Cổ phần Bao bì Hoàng Thạch,Bao bì Hoàng Thạch
105,BBS,HNXIndex,Công ty Cổ phần VICEM Bao bì Bút Sơn,Bao bì Xi măng Bút Sơn
106,BBT,UpcomIndex,Công ty Cổ phần Bông Bạch Tuyết,Bông Bạch Tuyết
107,BCB,UpcomIndex,Công ty Cổ phần 397,Công ty 397
108,BCC,HNXIndex,Công ty Cổ phần Xi măng Bỉm Sơn,Xi măng Bỉm Sơn
109,BCE,VNINDEX,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,XD và GT Bình Dương
110,BCG,VNINDEX,Công ty Cổ phần Tập đoàn Bamboo Capital,Bamboo Capital
111,BCP,UpcomIndex,Công ty Cổ phần Dược Enlie,Dược Enlie
112,BDB,HNXIndex,Công ty Cổ phần Sách và Thiết bị Bình Định,Sách Bình Định
113,MVC,UpcomIndex,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Vật liệu và XD Bình Dương
114,BFC,VNINDEX,Công ty Cổ phần Phân bón Bình Điền,Phân bón Bình Điền
115,BDG,UpcomIndex,Công ty Cổ phần May mặc Bình Dương,May mặc Bình Dương
116,BSA,UpcomIndex,Công ty Cổ phần Thủy điện Buôn Đôn,Thủy điện Buôn Đôn
117,PRT,UpcomIndex,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Sản xuất - XNK Bình Dương
118,BDW,UpcomIndex,Công ty Cổ phần Cấp thoát nước Bình Định,Cấp thoát nước Bình Định
119,BED,HNXIndex,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Sách Đà Nẵng
120,BEL,UpcomIndex,Công ty Cổ phần Điện tử Biên Hòa,Điện tử Biên Hoà
121,NBT,UpcomIndex,Công ty Cổ phần Cấp thoát nước Bến Tre,Cấp thoát nước Bến Tre
122,BGW,UpcomIndex,Công ty Cổ phần Nước sạch Bắc Giang,Nước sạch Bắc Giang
123,BHA,UpcomIndex,Công ty cổ phần Thủy điện Bắc Hà,Thủy điện Bắc Hà
124,BHC,UpcomIndex,Công ty Cổ phần Bê tông Biên Hòa,Bê tông Biên Hòa
125,BHK,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia Hà Nội - Kim Bài
126,BHN,VNINDEX,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HABECO
127,BHP,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia Hà Nội - Hải Phòng
128,BHT,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng Bạch Đằng TMC,Đầu tư XD Bạch Đằng
129,BIC,VNINDEX,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm BIDV
130,BID,VNINDEX,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV
131,BCM,VNINDEX,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Becamex IDC
132,BLT,UpcomIndex,Công ty Cổ phần Lương thực Bình Định,Lương Thực Bình Định
133,DBD,VNINDEX,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định,Dược - TB Y tế Bình Định
134,BHG,UpcomIndex,Công ty Cổ phần Chè Biển Hồ,Chè Biển Hồ
135,BII,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Đầu tư và Phát triển Công nghiệp Bảo Thư
136,BIO,UpcomIndex,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Vắc xin và Sinh phẩm Nha Trang
137,BWE,VNINDEX,Công ty Cổ phần Nước - Môi trường Bình Dương,Nước - Môi trường Bình Dương
138,BKC,HNXIndex,Công ty Cổ phần Khoáng sản Bắc Kạn,Khoáng sản Bắc Kạn
139,BKG,VNINDEX,Công ty Cổ phần Đầu tư BKG Việt Nam,Đầu tư BKG Việt Nam
140,BLF,HNXIndex,Công ty Cổ phần Thủy sản Bạc Liêu,Thủy sản Bạc Liêu
141,BLI,UpcomIndex,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm Nhà Rồng
142,MH3,UpcomIndex,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,KCN Cao su Bình Long
143,DTB,UpcomIndex,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Công trình Đô thị Bảo Lộc
144,BMC,VNINDEX,Công ty Cổ phần Khoáng sản Bình Định,Khoáng sản Bình Định
145,BMD,UpcomIndex,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Môi trường và DV Đô thị Bình Thuận
146,BMF,UpcomIndex,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,VLXD và Chất đốt Đồng Nai
147,BMI,VNINDEX,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm Bảo Minh
148,BMG,UpcomIndex,Công ty Cổ phần May Bình Minh,May Bình Minh
149,BMJ,UpcomIndex,Công ty Cổ phần Khoáng sản Miền Đông AHP,Khoáng sản Miền Đông AHP
150,BMN,UpcomIndex,Công ty Cổ phần 715,Công ty 715
151,BMP,VNINDEX,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh
152,BMS,UpcomIndex,Công ty Cổ phần Chứng khoán Bảo Minh,Chứng khoán Bảo Minh
153,MBN,UpcomIndex,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Môi trường và Công trình ĐT Bắc Ninh
154,BNW,UpcomIndex,Công ty Cổ phần Nước sạch Bắc Ninh,Nước sạch Bắc Ninh
155,BOT,UpcomIndex,Công ty Cổ phần BOT Cầu Thái Hà,BOT Cầu Thái Hà
156,BPC,HNXIndex,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Bao bì Bỉm Sơn
157,BRC,VNINDEX,Công ty Cổ phần Cao su Bến Thành,Cao su Bến Thành
158,BRS,UpcomIndex,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Dịch vụ Đô thị Bà Rịa
159,VTG,UpcomIndex,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Du lịch tỉnh BR-VT
160,BSC,HNXIndex,Công ty Cổ phần Dịch vụ Bến Thành,Dịch vụ Bến Thành
161,BSP,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia Sài Gòn - Phú Thọ
162,BSI,VNINDEX,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Chứng khoán BIDV
163,BSR,UpcomIndex,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Lọc - Hóa dầu Bình Sơn
164,BST,HNXIndex,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Sách và Thiết bị Bình Thuận
165,BT6,UpcomIndex,Công ty Cổ phần BETON 6,Bê tông 6
166,BTG,UpcomIndex,Công ty Cổ phần Bao bì Tiền Giang,Bao bì Tiền Giang
167,BTH,UpcomIndex,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Biến thế và Vật liệu Điện Hà Nội
168,BTN,UpcomIndex,Công ty Cổ phần Gạch Tuy Nen Bình Định,Gạch Tuy Nen Bình Định
169,BTP,VNINDEX,Công ty Cổ phần Nhiệt điện Bà Rịa,Nhiệt điện Bà Rịa
170,BTS,HNXIndex,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xi măng Bút Sơn
171,BTT,VNINDEX,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,TM - DV Bến Thành
172,BTD,UpcomIndex,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Bê tông ly tâm Thủ Đức
173,BTV,UpcomIndex,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,DV Du lịch Bến Thành
174,BTU,UpcomIndex,Công ty Cổ phần Công trình Đô thị Bến Tre,Công trình Đô thị Bến Tre
175,BTW,HNXIndex,Công ty Cổ phần Cấp nước Bến Thành,Cấp nước Bến Thành
176,BLN,UpcomIndex,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Xe buýt Liên Ninh
177,BVG,UpcomIndex,Công ty cổ phần Group Bắc Việt,Group Bắc Việt
178,BVH,VNINDEX,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt
179,BVN,UpcomIndex,Công ty Cổ phần Bông Việt Nam,Bông Việt Nam
180,TNH,VNINDEX,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Bệnh viện Quốc tế Thái Nguyên
181,BVS,HNXIndex,Công ty Cổ phần Chứng khoán Bảo Việt,Chứng khoán Bảo Việt
182,BWA,UpcomIndex,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Cấp thoát nước và Xây dựng Bảo Lộc
183,BWS,UpcomIndex,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Cấp Nước Bà Rịa Vũng Tàu
184,BXH,HNXIndex,Công ty Cổ phần VICEM Bao bì Hải Phòng,Bao bì Xi măng HP
185,HNB,UpcomIndex,Công ty Cổ phần Bến xe Hà Nội,Bến xe Hà Nội
186,C69,HNXIndex,Công ty Cổ phần Xây dựng 1369,Xây dựng1369
187,C21,UpcomIndex,Công ty Cổ phần Thế kỷ 21,Thế kỷ 21
188,C22,UpcomIndex,Công ty Cổ phần 22,Công ty 22
189,C32,VNINDEX,Công ty Cổ phần CIC39,CIC39
190,C47,VNINDEX,Công ty Cổ phần Xây dựng 47,Xây dựng 47
191,C71,UpcomIndex,Công ty Cổ phần 471,Xây dựng 471
192,TS3,UpcomIndex,Công ty Cổ phần Trường Sơn 532,Trường Sơn 532
193,C92,UpcomIndex,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Đầu tư 492
194,CAD,UpcomIndex,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Thủy sản Cadovimex
195,CPA,UpcomIndex,Công ty Cổ phần Cà phê Phước An,Cà phê Phước An
196,CFV,UpcomIndex,Công ty Cổ phần Cà phê Thắng Lợi,Cà phê Thắng Lợi
197,CAN,HNXIndex,Công ty Cổ phần Đồ hộp Hạ Long,Đồ hộp Hạ Long
198,CCT,UpcomIndex,Công ty Cổ phần Cảng Cần Thơ,Cảng Cần Thơ
199,CAP,HNXIndex,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nông sản Yên Bái
200,CCA,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,XNK Thuỷ sản Cần Thơ
