,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
262,HOSE,Vật tư Xăng dầu,253.0,5379,Bán lẻ,Retail,2000,0.0,395.0,0.004,http://comeco.vn,3.7,0.076,-0.224,-0.311,14.1,14.1,CT,COM,,,,
263,UPCOM,COMA,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2016,199.0,137.0,0.0,http://www.coma.vn,3.4,-0.017,-0.042,0.286,23.9,23.9,CT,TCK,,,,
264,UPCOM,Colusa -  Miliket,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2006,534.0,186.0,0.001,http://www.comifood.com,3.6,0.132,0.115,0.311,4.8,4.8,CT,CMN,,,,
265,UPCOM,XD Dầu Khí IDICO,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2013,104.0,123.0,0.0,https://www.idico.com.vn,4.0,-0.023,-0.026,0.653,12.0,12.0,CT,ICN,,,,
266,UPCOM,Xây dựng Coninco,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2015,1019.0,185.0,0.0,http://www.coninco.com.vn,2.9,-0.083,-0.088,0.514,8.8,8.8,CT,CNN,,,,
267,HNX,Thuốc sát trùng Cần Thơ,151.0,1357,Hóa chất,Chemicals,1996,197.0,343.0,0.071,http://www.tstcantho.com.vn,4.2,-0.017,-0.063,-0.014,4.1,4.3,CT,CPC,,,,
268,UPCOM,Dược phẩm Trung ương CPC1,238.0,4577,Y tế,Health Care,2010,331.0,501.0,0.0,http://www.cpc1.com.vn,3.6,-0.072,-0.029,0.185,21.0,21.0,CT,DP1,,,,
269,UPCOM,Dược phẩm CPC1 Hà Nội,238.0,4577,Y tế,Health Care,2009,944.0,109.0,0.0,http://www.cpc1hn.com.vn,3.9,-0.174,-0.209,0.326,16.2,16.2,CT,DTP,,,,
270,UPCOM,PV mai táng Hải Phòng,252.0,5377,Bán lẻ,Retail,2010,198.0,211.0,0.0,http://www.maihoatanghaiphong.vn,3.9,-0.017,-0.042,0.286,4.4,4.4,CT,CPH,,,,
271,UPCOM,Đầu tư Cảng Cái Lân,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,39.0,0.0,0.0,http://www.cailanportinvest.com.vn,3.6,-0.017,0.198,-0.198,36.5,36.5,CT,CPI,,,,
272,HNX,DV Sân Bay Cam Ranh,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009,461.0,173.0,0.012,http://www.cias.vn,3.9,-0.026,-0.099,-0.038,18.7,19.7,CT,CIA,,,,
273,HOSE,Create Capital Việt Nam,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2010,80.0,3531.0,0.004,http://www.createcapital.vn,4.0,-0.032,-0.11,-0.294,30.0,30.0,CT,CRC,,,,
274,HNX,Tập đoàn COTANA,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1993,89.0,2086.0,0.001,http://www.cotanagroup.vn,4.2,0.031,-0.011,-0.399,25.6,25.6,CT,CSC,,,,
275,UPCOM,Cảng Sài Gòn,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,935.0,1004.0,0.0,http://www.saigonport.vn,3.7,0.017,-0.026,-0.397,216.3,216.3,CT,SGP,,,,
276,HOSE,Cao su Miền Nam,213.0,3357,Ô tô và phụ tùng,Automobiles & Parts,2006,2144.0,5415.0,0.007,http://www.casumina.com,3.3,-0.096,-0.102,0.046,103.6,103.6,CT,CSM,,,,
277,HOSE,Hóa chất Cơ bản miền Nam,151.0,1357,Hóa chất,Chemicals,1976,636.0,4356.0,0.044,http://www.sochemvn.com,4.3,-0.024,-0.046,-0.259,44.2,44.2,CT,CSV,,,,
278,UPCOM,Xây dựng công trình 3,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1977,165.0,398.0,0.0,http://www.ct3.com.vn,3.4,0.054,0.458,-0.062,8.8,8.8,CT,CT3,,,,
279,UPCOM,Công trình 6,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003,100.0,687.0,0.0,http://www.ctcpct6.com.vn/,4.0,0.087,-0.113,-0.091,6.1,6.1,CT,CT6,,,,
280,UPCOM,Xây dựng Vinavico,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2006,51.0,229.0,0.003,http://www.vinavicogroup.com,3.8,-0.017,-0.042,-0.154,9.5,8.5,CT,CTA,,,,
281,HNX,Bơm Hải Dương,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004,269.0,462.0,0.004,http://www.hpmc.com.vn,3.9,0.01,-0.248,0.096,13.7,13.7,CT,CTB,,,,
282,HNX,Tập đoàn Hoàng Kim Tây Nguyên,262.0,5759,Du lịch và Giải trí,Travel & Leisure,2004,165.0,411.0,0.008,http://gialaitourist.com.vn,3.4,-0.017,-0.042,-0.546,15.8,15.8,CT,CTC,,,,
283,HOSE,Xây dựng Coteccons,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,2720.0,5758.0,0.491,http://www.coteccons.vn,3.6,0.092,0.262,-0.267,73.9,78.8,CT,CTD,,,,
284,HOSE,City Auto,211.0,3353,Ô tô và phụ tùng,Automobiles & Parts,2009,316.0,491.0,0.009,http://www.cityford.com.vn,3.3,-0.053,-0.013,0.667,76.0,76.0,CT,CTF,,,,
285,HOSE,VietinBank,289.0,8355,Ngân hàng,Banks,1988,22564.0,0.0,0.281,http://www.vietinbank.vn,4.0,0.008,0.017,0.197,4805.8,4805.8,NH,CTG,,,,
286,UPCOM,Công trình Giao thông Sài Gòn,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2010,505.0,638.0,0.002,http://www.giaothongsaigon.com.vn,3.7,-0.017,0.0,0.266,28.5,28.5,CT,GTS,,,,
287,HOSE,Cường Thuận IDICO,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007,481.0,6654.0,0.007,http://www.cuongthuan.vn,3.3,0.008,-0.018,-0.214,54.8,63.0,CT,CTI,,,,
288,HOSE,Viễn thông - Tin học Bưu điện,310.0,9537,Công nghệ Thông tin,Technology,2001,484.0,639.0,0.004,http://www.ctin.vn,3.3,-0.013,-0.05,-0.032,32.2,32.2,CT,ICT,,,,
289,UPCOM,VINAVICO,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003,250.0,0.0,0.016,http://www.vinavico.com,3.7,-0.017,-0.242,-0.394,4.9,7.0,CT,CTN,,,,
290,HNX,Minh Khang Capital Trading Public,216.0,3537,Thực phẩm và đồ uống,Food & Beverage,2010,28.0,109.0,0.012,http://www.thuongphu.com.vn,3.5,-0.103,-0.101,-0.319,12.1,12.1,CT,CTP,,,,
291,HOSE,Công trình Viettel,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2010,9536.0,9288.0,0.109,http://www.congtrinhviettel.com.vn,3.9,0.074,0.059,-0.008,114.4,114.4,CT,CTR,,,,
292,HOSE,Chứng khoán Vietinbank,300.0,8777,Dịch vụ tài chính,Financial Services,2000,175.0,4031.0,0.018,http://www.cts.vn,3.4,0.107,0.33,-0.073,148.7,148.7,CK,CTS,,,,
293,HNX,Chế tạo máy Vinacomin,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,860.0,1066.0,0.002,http://chetaomay.com.vn/,3.7,-0.017,-0.133,0.365,4.7,4.7,CT,CTT,,,,
294,UPCOM,Cán thép Thái Trung,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2008,267.0,677.0,0.0,http://www.ttr.com.vn,3.3,-0.017,0.098,0.096,50.8,50.8,CT,TTS,,,,
295,UPCOM,Cấp thoát nước Cần Thơ,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2004,456.0,232.0,0.0,http://www.ctn-cantho.com.vn,3.8,-0.017,-0.302,-0.01,28.0,28.0,CT,CTW,,,,
296,HNX,CONSTREXIM,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1982,53.0,0.0,0.0,http://ctx.vn,3.2,-0.017,-0.042,0.024,78.9,78.9,CT,CTX,,,,
297,UPCOM,Vinacafe Sơn Thành,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2008,92.0,0.0,0.0,http://www.vinasonthanh.com,3.5,-0.017,-0.042,0.286,1.0,1.0,CT,AUM,,,,
298,HNX,Vinam Group,235.0,4535,Y tế,Health Care,2007,56.0,2593.0,0.0,http://vinamgroup.com.vn/,4.3,-0.017,-0.178,-0.423,29.7,29.7,CT,CVN,,,,
299,HOSE,CMC JSC,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,1125.0,1284.0,0.005,https://cmctiles.vn,3.4,-0.02,0.019,0.112,36.7,36.7,CT,CVT,,,,
300,HNX,Constrexim số 8,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2000,287.0,123.0,0.003,http://www.constrexim8.com.vn,3.4,-0.017,-0.007,-0.093,2.2,2.1,CT,CX8,,,,
301,UPCOM,Gạch men Chang YIH,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,221.0,0.0,0.393,http://www.changyih-ceramic.com,3.7,-0.017,-0.122,-0.324,9.0,2.0,CT,CYC,,,,
302,HNX,Địa ốc 11,336.0,8633,Bất động sản,Real Estate,2004,137.0,0.0,0.0,http://www.diaoc11.com.vn,4.4,0.026,-0.017,-0.26,7.3,6.6,CT,D11,,,,
303,HOSE,Phát triển Đô thị số 2,336.0,8633,Bất động sản,Real Estate,2006,86.0,3550.0,0.033,http://www.d2d.com.vn,3.6,0.028,0.081,-0.294,30.3,30.3,CT,D2D,,,,
304,UPCOM,CTCP 382 Đông Anh,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2003,176.0,0.0,0.065,https://www.382donganh.com/,3.5,-0.017,-0.042,-0.225,1.0,1.0,CT,DAC,,,,
305,UPCOM,Gạch men COSEVCO,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2013,324.0,170.0,0.0,http://www.dacera.com.vn,3.2,-0.158,0.067,0.078,6.5,6.5,CT,DCR,,,,
306,HNX,Phát triển GD Đà Nẵng,256.0,5557,Truyền thông,Media,2007,52.0,197.0,0.323,http://www.nxbgddn.vn/,4.2,-0.045,-0.037,0.06,4.7,5.0,CT,DAD,,,,
307,HNX,Sách Giáo dục Đà Nẵng,256.0,5557,Truyền thông,Media,2004,20.0,295.0,0.01,http://www.sachgiaoduc.com,4.0,-0.115,-0.14,0.108,1.5,1.5,CT,DAE,,,,
308,HOSE,TĐ Nhựa Đông Á,150.0,1353,Hóa chất,Chemicals,2001,244.0,6605.0,0.004,http://www.dag.com.vn,3.2,-0.028,-0.053,-0.422,59.6,59.6,CT,DAG,,,,
309,UPCOM,May Đáp Cầu,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2015,2080.0,879.0,0.053,http://www.dagarco.vn,3.4,-0.017,-0.042,1.874,6.8,6.8,CT,DCG,,,,
310,HOSE,Tập đoàn Khách sạn Đông Á,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2003,12.0,327.0,0.001,https://www.mayplazahotel.com,3.6,-0.024,-0.035,-0.388,84.2,84.2,CT,DAH,,,,
311,UPCOM,Cao su Đắk Lắk,150.0,1353,Hóa chất,Chemicals,2010,2221.0,1466.0,0.0,http://www.dakruco.com,3.4,-0.017,-0.015,-0.27,155.8,1.7,CT,DRG,,,,
312,UPCOM,Đầu tư Cao su Đắk Lắk,150.0,1353,Hóa chất,Chemicals,2012,2396.0,1950.0,0.001,http://www.dri.com.vn,3.9,-0.003,-0.069,-0.3,73.2,73.2,CT,DRI,,,,
313,UPCOM,Đô thị và Môi trường Đắk Lắk,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,675.0,856.0,0.0,http://www.moitruongdothidaklak.com.vn,3.5,-0.017,-0.042,0.319,6.6,6.6,CT,UDL,,,,
314,UPCOM,Cấp nước Đắk Lắk,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,401.0,369.0,0.0,http://www.dakwaco.com.vn,3.6,-0.017,0.28,0.029,31.5,20.2,CT,DWC,,,,
315,UPCOM,Đạm Hà Bắc,151.0,1357,Hóa chất,Chemicals,2006,1238.0,1335.0,0.0,http://www.damhabac.com.vn,4.0,0.022,-0.133,0.048,272.2,272.2,CT,DHB,,,,
316,HOSE,Dệt sợi DAMSAN,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006,679.0,2933.0,0.003,http://damsanjsc.vn/en/,3.4,-0.033,0.031,-0.324,50.8,43.8,CT,ADS,,,,
317,UPCOM,Dược Danapha,238.0,4577,Y tế,Health Care,2007,386.0,189.0,0.0,http://www.danapha.com,3.9,0.031,-0.246,0.087,20.9,21.1,CT,DAN,,,,
318,UPCOM,Môi trường Đô thị Đà Nẵng,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,1272.0,909.0,0.012,http://www.moitruongdothidanang.com.vn,3.9,-0.017,-0.116,0.071,5.8,5.8,CT,DNE,,,,
319,UPCOM,Bao bì Đông Á,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1995,331.0,202.0,0.0,http://www.donga.khatoco.com,3.7,,,,1.7,1.7,CT,DAP,,,,
320,UPCOM,Thiết bị Dầu khí Đà Nẵng,188.0,2753,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1983,148.0,0.0,0.0,http://daesco.vn/,3.2,-0.017,0.807,-0.014,4.2,4.2,CT,DAS,,,,
321,HOSE,Tập đoàn Đạt Phương,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2002,517.0,5613.0,0.019,http://www.datphuong.com.vn,4.1,0.02,-0.015,-0.341,63.0,63.0,CT,DPG,,,,
322,HOSE,Tập đoàn DABACO,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2004,6368.0,0.0,0.059,http://www.dabaco.com.vn,3.5,-0.01,0.003,-0.328,242.0,242.0,CT,DBC,,,,
323,UPCOM,Thủy điện Định Bình,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2004,24.0,818.0,0.001,http://www.thuydiendinhbinh.vn,3.6,-0.025,-0.14,0.357,8.2,8.2,CT,TDB,,,,
324,UPCOM,BAMEPHARM,238.0,4577,Y tế,Health Care,1976,156.0,254.0,0.23,http://www.bamepharm.com.vn,3.7,-0.017,0.027,0.299,1.9,1.9,CT,DBM,,,,
325,HOSE,Dược phẩm Bến Tre,238.0,4577,Y tế,Health Care,2004,556.0,2153.0,0.027,http://www.bepharco.com,3.5,-0.022,-0.079,0.166,15.6,15.6,CT,DBT,,,,
326,HNX,DIC Số 2,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,77.0,754.0,0.025,https://dic2.vn/,3.5,0.05,-0.082,-0.365,7.2,7.2,CT,DC2,,,,
327,HOSE,Xây dựng DIC Holdings,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,312.0,2414.0,0.001,http://www.diccons.vn,3.4,0.029,-0.051,-0.415,52.5,52.5,CT,DC4,,,,
328,HOSE,Dược phẩm Cửu Long,238.0,4577,Y tế,Health Care,2004,959.0,2216.0,0.013,http://dcl.com.vn,3.6,-0.067,-0.141,-0.049,73.0,73.0,CT,DCL,,,,
329,HOSE,Đạm Cà Mau,151.0,1357,Hóa chất,Chemicals,2011,918.0,21094.0,0.111,http://www.pvcfc.com.vn,4.7,-0.029,-0.028,-0.144,529.4,529.4,CT,DCM,,,,
330,UPCOM,Đại Châu,221.0,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2000,33.0,121.0,0.007,http://daichau.com/,3.4,-0.017,-0.042,-0.548,60.3,60.3,CT,DCS,,,,
331,UPCOM,Tấm lợp VLXD Đồng Nai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2000,239.0,2501.0,0.004,http://www.donac.net,3.3,-0.142,-0.167,-0.455,27.2,27.2,CT,DCT,,,,
332,UPCOM,Địa chất Việt Bắc - TKV,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2010,432.0,392.0,0.0,http://www.diachatvietbac.vn,3.4,-0.017,-0.042,0.286,8.6,8.6,CT,VBG,,,,
333,UPCOM,Hàng hải Đông Đô,191.0,2773,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006,286.0,0.0,0.001,http://www.dongdomarine.com.vn,4.2,-0.017,0.185,-0.305,12.2,12.2,CT,DDM,,,,
334,UPCOM,Dược - TB Y tế Đà Nẵng,238.0,4577,Y tế,Health Care,1984,229.0,1226.0,0.003,http://www.dapharco.com.vn,3.7,-0.038,-0.163,-0.124,15.3,15.3,CT,DDN,,,,
335,UPCOM,DAP - Vinachem,151.0,1357,Hóa chất,Chemicals,2008,677.0,749.0,0.0,http://www.dap-vinachem.com.vn,4.3,-0.017,-0.018,-0.416,146.1,146.1,CT,DDV,,,,
336,UPCOM,XD và Thiết kế số 1,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003,65.0,224.0,0.0,http://www.decofi.vn,3.4,-0.017,-0.042,0.892,15.0,15.0,CT,DCF,,,,
337,UPCOM,Dệt may 7,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2010,473.0,131.0,0.0,http://www.detmay7.com,4.1,-0.103,-0.129,2.055,15.4,15.4,CT,DM7,,,,
338,UPCOM,Tập đoàn Đua Fat,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2009,120.0,307.0,0.0,https://duafat.com.vn,3.2,0.229,0.131,-0.094,80.0,80.0,CT,DFF,,,,
339,HOSE,Hóa chất Đức Giang,151.0,1357,Hóa chất,Chemicals,2004,2305.0,944.0,0.16,http://ducgiangchem.vn,4.6,-0.003,-0.004,-0.212,379.8,379.8,CT,DGC,,,,
340,UPCOM,Công trình GT Đồng Nai,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,52.0,0.0,0.0,http://www.dgtc.vn,3.6,-0.031,-0.118,-0.496,79.0,79.0,CT,DGT,,,,
341,HOSE,Thế Giới Số,253.0,5379,Bán lẻ,Retail,2003,612.0,1228.0,0.24,https://digiworld.com.vn,3.9,-0.15,-0.277,-0.358,167.1,163.2,CT,DGW,,,,
342,HOSE,Hóa An,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2000,119.0,2027.0,0.185,http://www.hoaan.com.vn,3.8,-0.025,-0.056,0.001,14.7,15.1,CT,DHA,,,,
343,HOSE,Đông Hải Bến Tre,156.0,1737,Tài nguyên Cơ bản,Basic Resources,2003,519.0,1004.0,0.35,http://www.dohacobentre.com.vn,4.3,-0.011,0.056,-0.077,80.5,80.5,CT,DHC,,,,
344,HOSE,Dược Hậu Giang,238.0,4577,Y tế,Health Care,2004,2678.0,3660.0,0.543,http://www.dhgpharma.com.vn,4.0,-0.03,-0.081,0.148,130.7,130.7,CT,DHG,,,,
345,HOSE,Khoáng sản Dương Hiếu,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2003,26.0,0.0,0.001,http://www.duonghieu.com.vn,3.5,-0.004,-0.029,0.21,31.4,31.4,CT,DHM,,,,
346,HNX,Điện cơ Hải Phòng,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004,173.0,191.0,0.007,https://hapemco.vn/,4.2,-0.017,-0.033,0.216,9.5,9.5,CT,DHP,,,,
347,HNX,Dược phẩm Hà Tây,247.0,5333,Bán lẻ,Retail,2001,795.0,749.0,0.272,http://www.hataphar.com.vn,3.8,-0.02,-0.072,0.275,26.4,26.4,CT,DHT,,,,
348,UPCOM,ĐT và TM DIC,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,122.0,0.0,0.003,http://www.dic-intraco.vn,3.3,-0.094,-0.042,-0.422,26.1,26.6,CT,DIC,,,,
349,UPCOM,Phát triển Xây dựng số 1 (DIC1),181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2013,126.0,0.0,0.021,https://dic1.vn/,3.3,-0.017,0.594,-0.08,4.1,4.1,CT,DC1,,,,
350,UPCOM,DIC - Đồng Tiến,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2004,205.0,0.0,0.003,http://www.dicdongtien.vn,3.3,0.02,-0.109,-0.497,15.6,15.6,CT,DID,,,,
351,HOSE,ĐT Năng lượng Trường Thịnh,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2014,44.0,251.0,0.0,https://dientruongthinh.vn,3.2,-0.017,-0.042,-0.127,28.5,28.5,CT,TTE,,,,
352,HOSE,DIC Corp,336.0,8633,Bất động sản,Real Estate,2008,866.0,48279.0,0.058,http://www.dic.vn,3.5,0.042,-0.02,-0.541,609.9,609.9,CT,DIG,,,,
353,HNX,PT Xây dựng Hội An,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2006,235.0,0.0,0.001,http://www.dichoian.com,3.4,0.048,0.043,-0.138,5.9,6.0,CT,DIH,,,,
354,HNX,Tập đoàn Alpha 7,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005,188.0,14736.0,0.033,https://www.a7group.vn,3.5,0.013,-0.098,-0.429,106.2,106.2,CT,DL1,,,,
355,UPCOM,Du lịch Đắk Lắk,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2005,208.0,121.0,0.0,http://www.daklaktourist.com.vn,3.1,-0.017,-0.042,-0.159,9.3,9.3,CT,DLD,,,,
356,HOSE,Đức Long Gia Lai,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2007,5750.0,3572.0,0.014,http://www.duclonggroup.com,3.5,-0.022,-0.114,-0.439,299.3,299.3,CT,DLG,,,,
357,UPCOM,Chiếu sáng công cộng Đà Nẵng,276.0,7575,"Điện, nước & xăng dầu khí đốt",Utilities,,0.0,94.0,0.0,http://www.dlmc.com.vn,5.0,-0.017,-0.042,,1.7,1.2,CT,DLM,,,,
358,UPCOM,Địa ốc Đà Lạt,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1992,86.0,192.0,0.096,http://www.dalatreal.com.vn,3.4,-0.017,-0.042,-0.148,4.5,4.5,CT,DLR,,,,
359,UPCOM,Dịch vụ Đô thị Đà Lạt,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2003,383.0,109.0,0.0,http://dothidalat.com.vn/,3.4,-0.017,-0.042,0.252,5.6,5.6,CT,DUS,,,,
360,HOSE,Dược phẩm DOMESCO,238.0,4577,Y tế,Health Care,2004,1109.0,0.0,0.554,http://www.domesco.com,3.8,-0.059,-0.102,0.067,34.7,34.7,CT,DMC,,,,
361,UPCOM,Nông súc sản Đồng Nai,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2005,127.0,101.0,0.0,http://www.dolicovn.com,4.0,-0.017,-0.042,0.286,10.3,10.3,CT,NSS,,,,
362,HNX,Điện nước Hải Phòng,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,1992,147.0,135.0,0.003,http://diennuochp.com.vn,4.6,-0.017,-0.212,-0.145,6.4,6.4,CT,DNC,,,,
363,UPCOM,Cấp nước Đồng Nai,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,1985,936.0,909.0,0.001,http://www.dowaco.vn,4.0,-0.013,0.029,0.32,120.0,120.0,CT,DNW,,,,
364,UPCOM,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2005,260.0,114.0,0.0,https://www.dhd.com.vn,4.2,0.137,0.118,0.433,422.4,422.4,CT,DNH,,,,
365,UPCOM,Logistics Cảng Đà Nẵng,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009,166.0,294.0,0.004,http://www.danalog.com.vn,3.7,-0.017,0.433,0.426,4.3,4.3,CT,DNL,,,,
366,HNX,Y tế Danameco,236.0,4537,Y tế,Health Care,1976,693.0,394.0,0.036,http://www.danameco.com,3.3,-0.121,-0.147,-0.383,5.3,5.3,CT,DNM,,,,
367,UPCOM,XD và Vật liệu Đồng Nai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005,141.0,283.0,0.005,http://www.vatlieudongnai.vn,3.5,-0.017,0.056,0.195,8.8,8.8,CT,DND,,,,
368,UPCOM,Cấp nước Đà Nẵng,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2010,590.0,625.0,0.0,http://www.dawaco.com.vn,4.3,-0.017,-0.042,0.286,58.0,58.0,CT,DNN,,,,
369,HNX,Nhựa Đồng Nai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2004,2100.0,0.0,0.002,http://www.dnpcorp.vn,3.4,-0.021,-0.064,0.071,118.9,118.9,CT,DNP,,,,
370,HNX,Cảng Đà Nẵng,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,717.0,823.0,0.206,http://www.danangport.com,4.2,-0.024,-0.092,0.27,99.0,99.0,CT,CDN,,,,
371,UPCOM,Chứng khoán DSC,300.0,8777,Dịch vụ tài chính,Financial Services,2006,152.0,167.0,0.0,https://www.dsc.com.vn,3.5,-0.012,0.162,0.433,100.0,100.0,CK,DSC,,,,
372,UPCOM,Du lịch Đồng Nai,260.0,5755,Du lịch và Giải trí,Travel & Leisure,2016,189.0,0.0,0.0,http://www.dulichdongnai.com.vn,3.5,-0.017,-0.042,4.563,7.3,7.5,CT,DNT,,,,
373,UPCOM,Vật tư nông nghiệp Đồng Nai,151.0,1357,Hóa chất,Chemicals,2010,37.0,100.0,0.0,http://docam.vn,3.7,-0.017,-0.042,0.435,10.0,10.0,CT,DOC,,,,
374,UPCOM,Môi trường và Đô thị Đông Hà,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,,0.0,238.0,0.0,http://www.moitruongdothidongha.vn,5.0,-0.017,-0.042,,0.3,0.3,CT,MCD,,,,
375,UPCOM,"Bia, rượu Sài Gòn - Đồng Xuân",214.0,3533,Thực phẩm và đồ uống,Food & Beverage,2007,142.0,234.0,0.004,http://saigondongxuan.com.vn/,3.2,-0.017,0.107,0.183,3.0,3.0,CT,BSD,,,,
376,UPCOM,Domenal,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2012,49.0,546.0,0.0,http://www.domenal.com.vn,3.5,-0.217,-0.145,-0.335,12.5,12.5,CT,DMN,,,,
377,UPCOM,Vận tải XD Đồng Tháp,194.0,2779,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,100.0,482.0,0.005,http://www.dopetco.com.vn,3.7,-0.017,-0.129,0.036,4.7,4.7,CT,DOP,,,,
378,UPCOM,Xây dựng Cao su Đồng Nai,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2008,91.0,186.0,0.0,http://www.dorucon.com.vn,3.3,-0.001,-0.074,-0.151,2.1,2.1,CT,CDR,,,,
