,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,FIT,1356,3990,0,28.3,-0.4,0.4,26.8,0.0,0.013,0.007,0.7,,,,4.8,4.4,0.283,,0.008,0.2,5.5,-0.147,0.034,-0.765,0.112,2.735,0.03,46.7,33.0
1,BCG,3366,6310,-4,9.8,-0.2,0.5,20.5,0.0,0.066,0.008,-0.2,,,,1.6,1.3,0.108,,,1.1,12.1,0.907,0.179,,0.038,1.186,1.8,46.2,30.0
2,OGC,2436,8120,-4,61.4,-0.8,5.5,15.4,0.0,0.076,0.012,-3.1,,,,1.7,1.5,0.329,,,0.1,0.9,,-0.023,,-0.722,-0.851,1.0,45.9,29.0
3,TVC,557,4700,-1,-1.6,0.0,0.4,45.8,0.0,-0.213,-0.111,-1.7,,,,10.8,10.8,,,,0.1,29.5,,0.436,,-0.199,-1.068,-0.54,49.8,58.0
4,IBC,234,2820,-1,-2.6,0.0,0.3,12.9,0.0,-0.101,-0.02,1.1,,,,1.4,1.4,,,,1.3,10.0,,0.195,,,0.093,0.05,49.9,3.0
