,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SDA,144,5500.0,0,61.9,-0.7,0.7,118.9,0.0,0.01,0.007,-1.0,,,,1.1,1.1,0.066,,0.016,0.1,5.0,,0.104,,3.086,,,42.0,40.0
2,VCM,66,22000.0,0,313.8,-4.2,1.0,-50.5,0.0,0.003,0.002,-134.0,,,,2.6,2.6,,,0.012,0.0,-0.3,-0.545,-0.328,39.361,-0.076,,,82.5,
3,ILC,54,,-1,,,,15.3,0.0,-0.1,-0.02,2.4,,,,1.2,0.7,0.15,,0.034,3.6,13.9,-0.065,0.151,,0.326,,,46.9,
