,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PVE,75,5700,-1,24.1,-1.0,0.5,8.5,0.0,0.02,0.004,0.3,,,,1.1,0.5,0.365,,0.009,1.5,7.9,-0.365,,-0.942,-0.896,0.323,0.15,31.9,88.0
1,PVS,12140,25400,1,16.9,0.9,1.0,23.4,0.0,0.06,0.028,7.3,,,,1.8,1.7,0.061,,0.057,0.1,4.5,-0.026,-0.007,0.573,0.522,0.33,0.2,50.5,57.0
2,PVD,11284,20300,1,-117.9,0.2,0.8,16.4,0.0,-0.007,-0.005,1.2,,,,2.0,1.6,0.179,,0.037,0.3,4.6,,0.069,,0.175,8.029,0.4,46.6,53.0
3,TOS,958,30900,0,6.1,2.7,1.1,4.5,0.0,0.191,0.068,3.8,,,,1.2,1.1,0.233,,0.111,0.9,2.0,,,-0.399,-0.043,-0.109,0.05,54.8,53.0
4,PVC,725,14500,-2,65.6,-2.9,1.0,16.0,0.0,0.016,0.005,20.6,,,,1.5,1.3,0.074,,0.01,0.8,7.7,,-0.024,9.011,0.435,-0.008,0.15,46.2,39.0
5,POS,400,10010,-1,13.3,0.8,0.5,4.7,0.0,0.04,0.02,,,,,2.0,1.9,0.027,,0.022,0.0,0.0,0.029,0.114,1.509,0.293,0.242,0.15,42.4,40.0
6,PVB,283,13100,0,-23.6,0.0,0.8,-5.8,0.0,-0.032,-0.028,,,,,10.7,7.1,,,,0.0,0.0,,-0.162,,-0.361,-1.129,-0.88,44.5,22.0
7,PTV,78,3880,0,182.8,-0.5,0.4,-830.2,0.0,0.002,0.001,,,,,3.5,3.5,0.142,,0.015,0.0,0.0,,-0.263,0.368,0.701,,,21.1,
