,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,FPT,86775,79100,0,16.4,0.7,4.1,12.3,0.013,0.272,0.101,12.8,,,,1.3,1.2,0.402,,0.104,0.5,1.9,0.126,0.006,-0.07,0.17,0.186,0.195,48.3,48.0
1,ICT,428,13300,1,43.8,-0.5,0.6,55.9,0.0,0.014,0.006,-2.9,,,,1.6,1.3,0.051,,0.009,0.5,47.9,-0.427,-0.161,-0.416,-0.296,-0.599,-0.2,50.3,69.0
2,HIG,160,7100,0,13.0,-0.1,0.5,18.2,0.0,0.037,0.019,-15.3,,,,1.6,1.3,0.176,,0.024,0.0,0.3,0.46,-0.021,-0.705,1.653,-2079.513,0.055,50.1,60.0
3,SRA,138,3200,-1,4.2,-0.1,0.2,3.5,0.0,0.054,0.052,,,,,17.6,16.4,0.145,,0.051,0.0,0.0,0.228,0.223,0.59,4.755,0.052,0.055,40.4,65.0
4,VLA,108,54000,0,29.6,-0.8,4.5,12.0,0.0,0.164,0.141,,,,,2.9,2.9,0.473,,0.1,0.0,0.1,0.147,0.3,-0.402,0.009,,,8.2,
5,CMT,91,38500,1,10.5,0.0,1.7,3.6,0.0,0.171,0.085,10.0,,,,1.7,1.5,0.112,,0.047,0.6,1.7,0.229,0.097,0.951,1.567,,,56.7,
6,SRB,16,5700,0,-18.2,0.6,0.7,,0.0,-0.039,-0.039,-54.1,,,,16.2,16.1,-0.322,,-1.3,0.0,-0.2,,-0.196,,-0.2,,,65.2,
