,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SCS,6314,66900,-1,9.8,0.7,4.4,9.1,0.0,0.481,0.435,,,,,8.5,8.5,0.843,,0.805,0.0,0.0,0.134,0.077,0.061,-0.026,0.098,0.05,38.9,40.0
1,VJC,56923,105100,-1,-26.2,0.0,4.0,-20.9,0.0,-0.14,-0.037,-10.9,,,,1.0,1.0,,,,1.2,-4.6,,-0.014,,0.018,5.915,1.2,52.2,46.0
2,HVN,28455,12850,-2,-2.7,0.1,-2.7,-14.7,0.0,2.266,-0.169,-6.5,,,,0.2,0.2,,,,-2.8,-8.1,,-0.032,,-0.08,-0.722,0.28,49.0,33.0
