,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AMS,646,10774,-2,12.2,0.3,1.2,8.4,0.0,0.108,0.021,1.3,,,,1.0,0.5,0.068,,0.005,1.8,5.0,0.347,0.184,-0.767,0.317,0.135,0.055,63.9,70.0
2,PVM,561,14516,-3,14.3,-0.5,1.2,-48.7,0.0,0.082,0.049,1.0,,,,1.9,1.6,0.047,,0.004,0.4,-11.4,0.068,0.029,-0.855,-0.249,0.054,0.1,61.2,62.0
3,MTS,191,12700,0,11.4,-41.7,1.1,4.8,0.0,0.094,0.018,0.2,,,,1.1,0.9,0.031,,,0.9,2.3,0.057,0.101,,0.036,0.005,0.05,74.8,
4,ARM,140,45000,0,59.0,2.4,3.9,23.3,0.0,0.066,0.02,11.0,,,,1.3,1.2,0.145,,0.016,0.3,2.5,-0.219,-0.066,0.526,0.033,,,1.6,
