,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,TTN,329,8958.0,1,9.8,0.3,0.7,3.4,0.0,0.089,0.066,32.3,,,,4.8,3.1,0.163,,0.064,0.0,0.5,0.013,0.133,-0.253,0.042,-0.299,0.09,53.2,28.0
1,FOX,18595,56632.0,1,8.6,0.5,2.4,7.7,0.0,0.316,0.109,7.9,,,,1.0,0.9,0.489,,0.126,0.7,2.0,0.198,0.14,-0.1,0.051,0.172,0.15,53.7,59.0
2,PIA,98,25000.0,0,6.1,0.4,1.4,4.0,0.0,0.243,0.157,,,,,2.9,2.5,0.291,,0.114,0.0,0.0,-0.024,0.049,4.05,2.057,,,55.7,
3,PAI,52,,0,,,,,0.0,0.066,0.049,51.3,,,,3.6,3.4,0.182,,0.025,0.0,0.0,0.003,-0.014,0.231,-0.298,,,0.0,
