,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VEC,450,10274,1,-229.6,4.3,1.0,26.9,0.0,-0.004,-0.002,49.3,,,,3.2,2.7,0.181,,0.012,0.0,0.6,,-0.157,0.263,0.795,-0.069,-0.25,47.0,52.0
2,POT,309,15900,1,20.3,1.4,0.9,8.6,0.0,0.046,0.006,1.9,,,,1.1,0.8,0.094,,0.015,2.4,7.1,-0.136,-0.03,7.933,1.093,-0.237,-0.1,46.6,66.0
3,ITD,268,10950,-1,6.7,0.0,0.8,9.4,0.0,0.133,0.063,11.0,,,,1.9,1.8,0.158,,0.042,0.2,1.4,0.056,0.144,0.687,-0.197,-0.049,0.03,37.6,30.0
4,ONE,39,5000,0,6.1,0.4,0.4,10.8,0.0,0.065,0.012,1.9,,,,1.2,1.0,0.042,,0.004,1.1,7.2,-0.053,0.107,4.192,6.476,,,38.2,
