,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,CAP,649,82600,-1,5.9,0.1,3.2,3.6,0.0,0.708,0.485,,,,,3.9,1.9,0.243,,0.127,0.0,0.0,0.494,0.19,-0.5,-0.282,0.162,0.15,67.0,82.0
1,DHC,3228,40100,-1,8.5,-0.4,1.8,7.7,0.037,0.22,0.143,15.2,,,,1.5,0.9,0.126,,0.087,0.3,1.0,0.363,0.372,0.275,-0.025,-0.048,0.03,57.9,69.0
2,GVT,1065,5400,0,3.8,0.1,0.6,3.6,0.0,0.173,0.028,3.3,,,,1.0,0.5,0.083,,0.025,2.6,3.5,0.545,0.12,-0.268,-0.119,0.182,0.055,18.7,33.0
3,HHP,518,8350,-3,14.4,4.0,1.3,9.8,0.0,0.096,0.042,,,,,1.3,1.1,0.097,,0.043,0.9,3.8,0.341,0.464,0.493,0.132,,,47.1,
4,HAP,459,4140,1,85.9,-1.0,0.4,-13.6,0.0,0.005,0.005,-55.8,,,,10.7,9.4,0.3,,,0.0,-0.4,-0.129,0.107,,-0.045,0.084,0.05,44.0,42.0
5,VID,204,5000,-3,6.8,-0.4,0.4,6.7,0.0,0.065,0.025,1.8,,,,1.2,0.8,0.067,,0.005,0.6,4.4,-0.249,0.183,-0.702,0.335,,,32.2,38.0
6,SVT,173,11500,2,7.0,-0.3,0.8,94.0,0.0,0.127,0.126,,,,,52.3,52.3,0.033,,0.166,0.0,0.0,0.468,0.357,-0.05,-0.099,,,55.9,
