,Open,High,Low,Close,Volume,TradingDate
0,9672.0,9672.0,9672.0,9672.0,217480,2007-09-05
1,9373.0,9374.0,9194.0,9374.0,222430,2007-09-06
2,9551.0,9552.0,9433.0,9552.0,154640,2007-09-07
3,9911.0,10030.0,9672.0,9911.0,165250,2007-09-10
4,9911.0,9971.0,9791.0,9791.0,103890,2007-09-11
5,9611.0,9612.0,9493.0,9493.0,62520,2007-09-12
6,9491.0,9493.0,9433.0,9493.0,46950,2007-09-13
7,9551.0,9552.0,9492.0,9552.0,53480,2007-09-14
8,9551.0,9552.0,9433.0,9493.0,61910,2007-09-17
9,9493.0,9552.0,9493.0,9493.0,45680,2007-09-18
10,9551.0,9552.0,9433.0,9493.0,40160,2007-09-19
11,9551.0,9552.0,9493.0,9493.0,44050,2007-09-20
12,9551.0,9552.0,9492.0,9552.0,48150,2007-09-21
13,9672.0,9672.0,9553.0,9672.0,38180,2007-09-24
14,9909.0,9911.0,9791.0,9911.0,88570,2007-09-25
15,10268.0,10269.0,9970.0,9970.0,128880,2007-09-26
16,10030.0,10031.0,9971.0,10031.0,137040,2007-09-27
17,10508.0,10508.0,10269.0,10508.0,160240,2007-09-28
18,10986.0,10986.0,10986.0,10986.0,68630,2007-10-01
19,11463.0,11463.0,10866.0,11463.0,270700,2007-10-02
20,11463.0,11463.0,11105.0,11105.0,110780,2007-10-03
21,10745.0,10985.0,10567.0,10746.0,115460,2007-10-04
22,10746.0,10747.0,10508.0,10508.0,79240,2007-10-05
23,10567.0,10627.0,10508.0,10568.0,36660,2007-10-09
24,10687.0,10747.0,10567.0,10687.0,64800,2007-10-10
25,10567.0,10806.0,10687.0,10687.0,54840,2007-10-11
26,10627.0,10687.0,10508.0,10627.0,44490,2007-10-12
27,10508.0,10628.0,10389.0,10508.0,36720,2007-10-16
28,10508.0,10508.0,10389.0,10508.0,57200,2007-10-17
29,10387.0,10388.0,10269.0,10328.0,66560,2007-10-18
30,10627.0,10627.0,10508.0,10627.0,66640,2007-10-19
31,10627.0,10747.0,10627.0,10627.0,81530,2007-10-22
32,10388.0,10507.0,10388.0,10388.0,24790,2007-10-23
33,10508.0,10568.0,10508.0,10508.0,52150,2007-10-24
34,10568.0,10627.0,10508.0,10568.0,51450,2007-10-25
35,10449.0,10628.0,10449.0,10449.0,30350,2007-10-29
36,10508.0,10568.0,10389.0,10508.0,41630,2007-10-30
37,10506.0,10567.0,10328.0,10328.0,38850,2007-10-31
38,10866.0,10867.0,10747.0,10867.0,173140,2007-11-02
39,11404.0,11404.0,11224.0,11404.0,204940,2007-11-05
40,10926.0,11105.0,10926.0,10926.0,74010,2007-11-06
41,10926.0,10986.0,10747.0,10926.0,17130,2007-11-07
42,10985.0,10986.0,10627.0,10986.0,62810,2007-11-08
43,10627.0,10807.0,10508.0,10508.0,23440,2007-11-09
44,10746.0,10747.0,10389.0,10508.0,6360,2007-11-12
45,10508.0,10508.0,10031.0,10031.0,16080,2007-11-13
46,10508.0,10508.0,10269.0,10508.0,65680,2007-11-14
47,10269.0,10269.0,10090.0,10150.0,45440,2007-11-15
48,10150.0,10150.0,10030.0,10150.0,5550,2007-11-19
49,10031.0,10031.0,9911.0,10031.0,11110,2007-11-20
50,10150.0,10150.0,9732.0,10150.0,7030,2007-11-21
51,10269.0,10269.0,10150.0,10150.0,4180,2007-11-22
52,10149.0,10150.0,10031.0,10031.0,2690,2007-11-23
53,10269.0,10269.0,10090.0,10090.0,14500,2007-11-26
54,10447.0,10448.0,10149.0,10328.0,13500,2007-11-27
55,10388.0,10388.0,10328.0,10388.0,26860,2007-11-28
56,10506.0,10507.0,10388.0,10388.0,16400,2007-11-29
57,10209.0,10747.0,10030.0,10209.0,6150,2007-11-30
58,10150.0,10150.0,10150.0,10150.0,11280,2007-12-03
59,10149.0,10150.0,10090.0,10150.0,44800,2007-12-05
60,10150.0,10508.0,10150.0,10150.0,26560,2007-12-06
61,10150.0,10150.0,10150.0,10150.0,650,2007-12-07
62,10029.0,10030.0,9851.0,9911.0,33230,2007-12-11
63,9909.0,9911.0,9851.0,9911.0,10730,2007-12-12
64,9911.0,9970.0,9911.0,9911.0,29420,2007-12-13
65,9911.0,10328.0,9911.0,9911.0,19610,2007-12-14
66,10149.0,10209.0,10030.0,10209.0,31850,2007-12-17
67,10328.0,10449.0,10210.0,10449.0,50510,2007-12-18
68,10627.0,10926.0,10568.0,10627.0,79630,2007-12-19
69,10912.0,10912.0,10416.0,10416.0,25440,2007-12-20
70,10602.0,10602.0,10540.0,10602.0,59690,2007-12-24
71,10602.0,10602.0,10540.0,10602.0,15700,2007-12-25
72,10602.0,10602.0,10540.0,10602.0,10150,2007-12-26
73,10602.0,10602.0,10416.0,10540.0,5950,2007-12-27
74,10478.0,10478.0,10478.0,10478.0,2050,2007-12-28
75,10540.0,10540.0,10540.0,10540.0,2030,2008-01-02
76,10478.0,11036.0,10416.0,11036.0,24880,2008-01-03
77,10912.0,10912.0,10540.0,10912.0,34280,2008-01-04
78,10726.0,10726.0,10540.0,10726.0,45560,2008-01-07
79,10602.0,10664.0,10292.0,10602.0,18340,2008-01-08
80,10602.0,10602.0,10602.0,10602.0,22270,2008-01-09
81,10540.0,10540.0,10106.0,10540.0,19600,2008-01-10
82,10540.0,10540.0,10540.0,10540.0,36510,2008-01-11
83,10540.0,10540.0,10106.0,10106.0,5830,2008-01-14
84,9672.0,9672.0,9610.0,9672.0,30480,2008-01-15
85,10044.0,10106.0,9982.0,10106.0,75290,2008-01-16
86,10106.0,10106.0,9920.0,9920.0,11070,2008-01-17
