,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/03/23,2023,0.17,share
1,14/06/22,2021,0.03,cash
2,05/01/22,2021,0.08,cash
3,13/05/21,2020,0.05,cash
4,01/02/21,2020,0.08,cash
5,06/05/20,2019,0.05,cash
6,31/12/19,2019,0.05,cash
7,31/12/18,2018,0.15,cash
8,31/12/17,2017,0.17,cash
9,11/08/08,2008,0.12,share
