,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/03/23,2023,0.1,share
1,20/06/22,2021,0.2,cash
2,09/06/21,2020,0.05,cash
3,20/03/20,2019,0.08,cash
4,16/01/20,2020,0.1,share
5,23/05/19,2018,0.4,cash
6,01/06/18,2017,0.4,cash
7,30/05/17,2016,0.55,cash
