,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,16/03/23,2022,1.0,cash
1,09/08/22,2021,0.12,cash
2,16/12/21,2020,0.12,cash
3,18/05/20,2019,0.12,cash
4,21/10/19,2018,0.12,cash
5,19/10/18,2017,0.13,cash
6,30/08/17,2016,0.1,cash
7,31/12/15,2015,0.033,cash
