,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/03/23,2022,0.05,cash
1,07/12/22,2022,0.1,cash
2,07/06/22,2021,0.06,cash
3,04/05/22,2021,0.1,cash
4,31/12/21,2021,0.04,cash
