,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/03/23,2022,3.5,cash
1,25/04/22,2021,0.1,cash
2,19/04/21,2020,0.05,cash
3,27/04/20,2019,0.1,cash
4,25/04/19,2018,0.05,cash
5,20/04/18,2017,0.2,cash
6,11/04/17,2016,0.2,cash
7,15/02/16,2015,0.15,cash
8,10/02/15,2014,0.1,cash
9,22/01/14,2013,0.07,cash
10,08/03/13,2012,0.08,cash
11,12/04/12,2011,0.06,cash
