,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,13/04/23,2022,0.045,cash
1,06/04/22,2021,0.045,cash
2,02/04/21,2020,0.045,cash
3,16/04/20,2019,0.04,cash
4,17/04/19,2018,0.04,cash
5,09/05/18,2017,0.04,cash
6,26/04/17,2016,0.04,cash
7,22/04/16,2015,0.045,cash
8,23/04/15,2014,0.05,cash
9,16/05/14,2013,0.06,cash
10,17/04/13,2012,0.06,cash
11,25/04/12,2011,0.03,cash
12,01/06/11,2010,0.028,cash
